country,GDP_PPP_Billions,GDP_percent,percent_population,broadcast,magazine,newspaper,online,abc.net.au,abcnews.go.com,adweek.com,alarabiya.net,alternet.org,bbc.co.uk,bdnews24.com,bloomberg.com,boingboing.net,breitbart.com,businessweek.com,cbc.ca,cbsnews.com,chicagotribune.com,chron.com,cnbc.com,"cnn.com,money.cnn.com,ireport.cnn.com",commondreams.org,dailycurrant.com,digitalspy.co.uk,dnaindia.com,drudgereport.com,dw.de,economist.com,eonline.com,espn.go.com,ew.com,examiner.com,forbes.com,foxnews.com,ft.com,gawker.com,good.is,guardianlv.com,hindustantimes.com,hollywoodreporter.com,huffingtonpost.com,indianexpress.com,ksl.com,latimes.com,mediabistro.com,msn.foxsports.com,nationalgeographic.com,nbcnews.com,ndtv.com,"news.com.au,heraldsun.com.au","news.sky.com,sky.com",newsmax.com,newyorker.com,npr.org,nypost.com,nytimes.com,online.wsj.com,pbs.org,rawstory.com,rd.com,rollingstone.com,rte.ie,salon.com,sfgate.com,smh.com.au,spiegel.de,sportsillustrated.cnn.com,theatlantic.com,theglobeandmail.com,theguardian.com,thehindu.com,theweek.com,time.com,"timesofindia.indiatimes.com,economictimes.indiatimes.com,navbharattimes.indiatimes.com",tmz.com,townhall.com,tvguide.com,usatoday.com,usnews.com,variety.com,washingtonpost.com,wired.com,worldnetdaily.com
ABW,,,,0.004,0.0,0.0021,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0543,0.0,0.1706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0282,0.0,0.0,0.0,0.0,0.0
AFG,35.146,0.040,0.36,0.863,0.5757,0.5468,0.3166,0.8048,0.8403,0.0,1.1299,0.0,0.8572,5.8824,0.0,0.0,0.5919,0.0,0.3494,0.7278,0.5335,0.1287,0.1087,1.1039,1.0239,0.0,0.1852,0.7204,0.4437,2.3377,0.5464,0.0906,0.1172,0.3419,0.1768,0.0329,1.8428,0.1212,0.5464,0.0,0.397,0.7806,0.1647,0.7514,0.6843,1.0188,0.669,0.0,0.1344,1.6949,1.165,1.1164,0.3995,1.5424,0.4954,1.1364,1.9317,0.3908,0.5882,0.4791,0.0,0.315,0.0,0.0,0.2714,0.1466,0.4482,0.6286,5.7143,0.0,1.2953,0.3856,0.5849,0.5089,0.3257,1.5054,0.5368,0.4425,1.4563,0.3311,0.5919,1.0098,0.0895,2.904,0.0,0.5906
AGO,130.066,0.150,0.29,0.0455,0.064,0.0389,0.0266,0.0,0.0808,0.0,0.1883,0.0,0.0153,0.0,0.0,0.0,0.0,0.0,0.0349,0.097,0.0381,0.0,0.0,0.0381,0.0,0.0,0.0926,0.0294,0.0,0.0,0.2732,0.0906,0.0,0.0,0.0375,0.0988,0.0467,0.0,0.0,0.0,0.0361,0.0867,0.0,0.0,0.0708,0.0664,0.0,0.0,0.0672,0.0,0.0,0.0279,0.0,0.2571,0.0,0.0,0.1288,0.1954,0.0735,0.0625,0.0,0.0787,0.0,0.0,0.0,0.0,0.0208,0.0571,0.0,0.0,0.0,0.0257,0.0124,0.0254,0.0,0.043,0.046,0.0,0.0,0.0,0.0282,0.0918,0.1791,0.0,0.0,0.0
AIA,,,,0.002,0.0,0.0011,0.0,0.0,0.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,26.499,0.030,0.039,0.0337,0.0448,0.0747,0.0639,0.1006,0.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395,0.0,0.0874,0.0,0.0762,0.0,0.0,0.0381,0.0,0.0,0.0,0.0294,0.0,0.1299,0.0,0.0,0.0,0.1709,0.0911,0.0988,0.0467,0.0,0.5464,0.3155,0.0722,0.0,0.0,0.0,0.0472,0.0443,0.0,0.0,0.0,0.0,0.0,0.0279,0.0479,0.0,0.033,0.0,0.0644,0.9443,0.1029,0.0208,0.0,0.0787,0.0,0.0,0.0452,0.0,0.1355,0.019,0.0,0.0,0.0,0.0257,0.0249,0.0382,0.0,0.0,0.023,0.0,0.0,0.0,0.0564,0.0612,0.0,0.0,0.0,0.0
ARE,272.027,0.313,0.13,0.2751,0.1919,0.2965,0.141,0.5366,0.2424,0.0,6.403,0.0,0.1531,0.0,0.0,0.6826,0.1184,0.0,0.0699,0.1456,0.0762,0.3218,0.163,0.3807,0.0,0.0,0.3704,0.5881,0.0887,0.1299,0.2732,0.2717,0.0586,0.3419,0.1179,0.1647,0.3499,0.9697,0.0,0.0,0.2887,1.2142,0.3295,0.0683,0.6607,0.1107,0.0319,0.0,0.0,0.0,0.3883,0.4466,0.2397,0.0,0.1321,0.5682,0.0,0.1303,0.0735,0.1875,0.0,0.2362,0.0,0.0,0.1809,0.0,0.1042,0.2286,0.0,0.2681,0.0,0.1285,0.1742,0.4962,0.0,0.2151,0.4755,0.0,0.0,0.0,0.0846,0.1836,0.3581,0.0,0.5618,0.0984
ARG,777.945,0.894,0.6,0.2177,0.2175,0.1777,0.1889,0.2012,0.3394,0.7194,0.0,0.0,0.1378,0.0,0.2717,0.6826,0.0789,0.2967,0.0699,0.0,0.0381,0.3218,0.0543,0.3045,0.1706,0.0,0.0,0.0441,0.1775,0.0,0.2732,0.0906,0.5272,0.1709,0.1983,0.2636,0.2566,0.2424,0.0,0.6309,0.2887,0.0867,0.1647,0.2732,0.0944,0.2879,0.1274,0.0,0.5376,0.0,0.5825,0.0279,0.2717,0.2571,0.0661,0.0,0.2576,0.0,0.2059,0.3541,0.0,0.1575,0.0,0.2415,0.2714,0.0,0.5004,0.2476,0.0,0.1609,0.2591,0.0514,0.1742,0.0763,0.3257,0.086,0.0383,0.0,0.0,0.0,0.1691,0.2448,0.2686,0.5051,0.0,0.4921
ARM,20.352,0.023,0.042,0.002,0.0256,0.0095,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107,0.0,0.0233,0.0,0.0,0.6309,0.0,0.0,0.0,0.0683,0.0236,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,0.0639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0254,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASM,,,,0.004,0.0,0.0032,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0443,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,,,,0.0495,0.096,0.0358,0.0372,0.1677,0.0485,0.3597,0.0,0.0,0.0306,0.0,0.0,0.3413,0.0,0.0,0.0524,0.0485,0.0,0.1287,0.0,0.0761,0.0,0.0,0.0,0.0,0.0,0.1299,0.0,0.0,0.0586,0.0,0.0429,0.0988,0.0467,0.1212,0.0,0.0,0.1083,0.0,0.0,0.0,0.0236,0.0221,0.2867,0.0,0.0,0.0,0.0,0.0279,0.0479,0.0,0.0,0.0,0.1288,0.0651,0.0147,0.0,0.0,0.0787,0.0,0.0,0.0,0.1466,0.0313,0.0571,0.0,0.0,0.0,0.0257,0.0747,0.0,0.0,0.086,0.0077,0.0,0.0,0.0,0.0282,0.0918,0.4476,0.0,0.5618,0.0
