country,abc.net.au,abcnews.go.com,adweek.com,alarabiya.net,alternet.org,bbc.co.uk,bdnews24.com,bloomberg.com,boingboing.net,breitbart.com,businessweek.com,cbc.ca,cbsnews.com,chicagotribune.com,chron.com,cnbc.com,"cnn.com,money.cnn.com,ireport.cnn.com",commondreams.org,dailycurrant.com,digitalspy.co.uk,dnaindia.com,drudgereport.com,dw.de,economist.com,eonline.com,espn.go.com,ew.com,examiner.com,forbes.com,foxnews.com,ft.com,gawker.com,good.is,guardianlv.com,hindustantimes.com,hollywoodreporter.com,huffingtonpost.com,indianexpress.com,ksl.com,latimes.com,mediabistro.com,msn.foxsports.com,nationalgeographic.com,nbcnews.com,ndtv.com,"news.com.au,heraldsun.com.au","news.sky.com,sky.com",newsmax.com,newyorker.com,npr.org,nypost.com,nytimes.com,online.wsj.com,pbs.org,rawstory.com,rd.com,rollingstone.com,rte.ie,salon.com,sfgate.com,smh.com.au,spiegel.de,sportsillustrated.cnn.com,theatlantic.com,theglobeandmail.com,theguardian.com,thehindu.com,theweek.com,time.com,"timesofindia.indiatimes.com,economictimes.indiatimes.com,navbharattimes.indiatimes.com",tmz.com,townhall.com,tvguide.com,usatoday.com,usnews.com,variety.com,washingtonpost.com,wired.com,worldnetdaily.com
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARE,10,20,0,54,2,0,0,1,0,1,0,1,1,0,1,2,15,1,0,5,35,0,2,0,7,9,0,6,20,13,0,2,0,1,5,0,6,8,1,0,0,0,1,5,24,0,3,0,1,1,21,14,0,0,0,1,24,0,10,6,0,1,10,37,16,0,0,22,2,0,21,5,6,0,2,2
AFG,14,55,0,6,0,1,0,1,0,7,0,27,11,3,5,1,10,0,0,1,34,14,19,2,0,4,4,6,7,60,0,1,0,7,8,0,19,46,10,0,2,0,8,35,9,4,4,0,19,1,24,16,0,0,0,1,4,5,51,11,0,6,14,33,32,5,0,63,0,2,19,23,3,0,2,6
ATG,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALB,6,4,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,5,2,8,0,0,0,5,0,0,0,5,0,0,3,0,0,5,10,0,0,0,0,4,1,1,0,0,0,1,0,0,11,2,0,0,1,2,3,2,0,2,0,0,2,4,0,0,0,0
ARM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0
AGO,13,13,0,3,0,1,0,1,0,3,0,11,0,2,3,2,7,0,0,7,6,5,5,0,0,1,0,0,14,7,0,1,0,2,2,0,5,16,0,0,0,0,5,7,9,2,6,0,5,4,2,13,0,0,0,0,3,3,10,5,0,1,9,11,6,1,0,4,0,0,4,7,0,0,2,4
ATA,2,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,1,2,0,0,0,0,0,0,0,1,0,2,4,0,1,0,1,0,0,0,0,0,0,0,2,1,8,2,0,0,0,0,2,0,0,1,0,0,0,0,3,0,1,0
ARG,2,27,0,1,0,0,0,0,0,1,0,5,1,1,4,3,3,0,0,2,8,1,1,2,1,3,4,2,5,19,0,1,0,1,0,0,3,17,1,0,16,0,6,6,8,0,3,0,2,0,8,19,0,0,0,1,8,1,66,4,0,0,1,25,4,0,0,4,3,0,11,5,24,1,0,1
ASM,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,2,10,0,1,0,0,0,1,1,3,0,4,2,1,1,2,5,1,0,4,10,1,3,0,1,1,0,4,7,6,0,0,1,6,0,0,1,7,1,0,0,1,2,5,6,0,0,0,6,3,3,21,0,0,0,0,7,0,13,5,0,0,2,16,6,1,0,6,0,0,8,3,1,0,0,5
AUS,2528,82,3,9,4,11,0,2,3,8,0,96,6,18,16,31,34,1,0,68,278,21,18,4,35,13,10,32,67,66,3,8,2,21,61,1,92,52,5,1,5,4,19,154,4760,17,21,0,11,14,37,122,0,1,0,8,109,7,114,2597,0,3,35,468,213,1,1,155,7,1,50,25,20,0,8,10
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AZE,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,3,1,0,0,1,0,0,2,1,0,0,0,0
BIH,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,18,0,2,1,0,1,0,0,1,4,0,0,0,2,0,0,6,3,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,4,1,0,0,15,0,0,1,2,0,0,0,0
BRB,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,1,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3
BGD,9,7,0,0,0,2,0,1,0,1,0,2,0,0,0,0,1,0,0,1,54,0,5,1,0,0,1,0,2,9,0,1,2,5,7,0,27,4,1,0,0,0,0,14,5,0,0,0,4,0,4,5,0,0,0,0,0,0,6,4,0,0,2,5,76,0,1,108,0,0,3,2,0,0,1,0
BEL,2,7,1,1,0,0,0,0,0,0,0,6,2,0,3,2,4,0,0,4,8,2,8,0,0,0,2,2,7,8,2,2,0,1,0,0,1,1,0,0,0,0,4,6,11,1,1,0,5,0,2,22,0,0,0,0,12,1,9,3,0,0,5,22,4,1,0,8,0,0,4,8,2,0,2,1
BFA,3,4,0,0,0,4,0,0,0,0,0,1,0,0,0,1,2,0,0,0,6,0,12,1,0,0,1,0,2,11,0,0,0,0,0,0,2,12,0,0,0,0,0,14,1,0,1,0,1,1,1,3,0,0,0,0,1,0,8,1,0,0,3,4,6,0,0,7,1,0,1,4,0,0,0,0
BGR,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,2,3,2,2,8,0,0,0,0,0,0,2,7,0,0,0,0,1,0,3,1,0,0,0,2,1,3,0,0,0,0,2,0,2,0,0,0,1,2,1,0,0,1,0,1,3,0,0,0,0,0
BHR,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,1,6,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,1,0,0,0,2,7,0,0,2,0,0,1,3,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
BEN,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,7,1,0,2,0,0,0,1,0,0,0,1
BMU,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
