country,abc.net.au,abcnews.go.com,adweek.com,alarabiya.net,alternet.org,bbc.co.uk,bdnews24.com,bloomberg.com,boingboing.net,breitbart.com,businessweek.com,cbc.ca,cbsnews.com,chicagotribune.com,chron.com,cnbc.com,"cnn.com,money.cnn.com,ireport.cnn.com",commondreams.org,dailycurrant.com,digitalspy.co.uk,dnaindia.com,drudgereport.com,dw.de,economist.com,eonline.com,espn.go.com,ew.com,examiner.com,forbes.com,foxnews.com,ft.com,gawker.com,good.is,guardianlv.com,hindustantimes.com,hollywoodreporter.com,huffingtonpost.com,indianexpress.com,ksl.com,latimes.com,mediabistro.com,msn.foxsports.com,nationalgeographic.com,nbcnews.com,ndtv.com,"news.com.au,heraldsun.com.au","news.sky.com,sky.com",newsmax.com,newyorker.com,npr.org,nypost.com,nytimes.com,online.wsj.com,pbs.org,rawstory.com,rd.com,rollingstone.com,rte.ie,salon.com,sfgate.com,smh.com.au,spiegel.de,sportsillustrated.cnn.com,theatlantic.com,theglobeandmail.com,theguardian.com,thehindu.com,theweek.com,time.com,"timesofindia.indiatimes.com,economictimes.indiatimes.com,navbharattimes.indiatimes.com",tmz.com,townhall.com,tvguide.com,usatoday.com,usnews.com,variety.com,washingtonpost.com,wired.com,worldnetdaily.com
AZE,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,1,0,0,0,0,0,0,0,0,0
BIH,0,4,0,0,0,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,14,0,0,0,0,2,0,6,1,1,0,0,0,1,1,1,0,13,4,1,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,2,1,0,0,0,0,5,1,0,0,7,0,0,0,0,1,0,0,0,0
BRB,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
BGD,6,3,0,1,0,5,1,2,0,2,2,5,3,2,0,2,2,4,0,0,36,0,5,1,1,0,1,12,10,3,1,0,6,6,7,0,3,30,1,2,0,0,0,0,11,5,0,0,0,5,0,10,7,0,3,0,0,1,0,2,2,0,0,0,5,22,49,0,3,103,1,0,0,2,2,0,3,0,0
BEL,6,5,0,0,0,16,0,0,0,6,0,1,2,2,2,3,0,1,0,3,2,2,6,1,1,7,0,26,5,6,6,0,1,5,0,5,1,5,3,1,0,2,1,0,3,6,1,4,0,2,3,13,25,0,0,0,0,10,1,2,2,1,4,1,4,17,6,1,4,3,0,1,0,6,5,2,0,0,0
BFA,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0
BGR,2,2,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,4,0,2,12,2,7,1,0,0,2,0,1,0,1,2,0,0,0,0,0,0,2,0,1,0,2,2,1,0,0,1,0,0,2,1,1,0,0,1,0,1,4,2,0,1,3,2,0,2,0,2,3,0,0,0
BHR,6,17,0,2,0,13,0,0,0,1,0,1,0,0,0,0,3,0,0,0,5,0,0,0,1,2,0,8,1,8,0,0,0,0,1,0,0,7,6,0,0,0,0,0,2,12,0,1,0,0,0,6,1,0,0,0,0,4,0,6,4,0,6,0,3,13,8,0,1,6,0,0,0,10,1,0,0,0,0
BDI,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
BEN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,3,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,7,0,0,0,0,0,0,1,0,1
BLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
BRN,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
BOL,0,4,0,0,0,4,0,0,0,3,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,7,1,5,0,0,0,3,1,1,0,0,6,0,0,0,0,0,0,2,0,1,0,1,1,7,0,0,0,0,0,0,0,4,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0
BRA,15,71,11,9,1,63,0,8,4,10,5,26,19,16,8,42,26,3,0,23,46,8,10,9,12,26,6,163,89,21,6,1,4,27,3,15,12,14,24,36,0,0,1,15,33,28,4,19,0,12,20,73,76,0,9,0,9,15,9,20,24,0,21,9,34,82,28,2,28,41,2,1,2,31,20,24,1,10,4
BHS,2,4,0,0,0,2,0,0,0,0,0,4,1,1,0,0,0,0,0,0,12,1,0,0,9,0,1,8,0,4,0,0,0,1,1,1,0,4,2,0,0,0,0,0,2,5,0,1,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,0,2,3,5,0,1,8,0,0,1,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0
BWA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,4,1,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,2,0,0,0,2,0,1,1,2,1,3,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,4,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,2,0,0,0,0,0,0,2,1,4,0,1,2,0,0,0,1,0,1,0,0,0
BLZ,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CAN,20,98,8,1,5,63,0,2,12,14,2,3842,20,38,18,10,24,12,0,15,23,8,3,4,33,74,12,504,34,46,5,0,7,67,7,59,11,14,32,55,0,27,0,1,16,64,3,26,3,20,119,149,54,2,16,0,15,29,3,85,34,0,60,10,1577,81,24,9,26,25,7,4,3,93,32,26,3,2,15
CCK,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
COD,0,7,0,0,0,6,0,1,0,0,1,1,1,3,0,0,4,0,0,0,1,1,3,0,0,0,0,11,4,9,0,1,5,3,0,3,0,0,8,1,0,0,2,0,1,0,0,0,0,1,1,3,0,0,0,0,0,1,0,4,3,0,0,0,2,2,5,0,4,5,0,0,0,2,3,1,0,0,0
CAF,1,18,0,0,0,12,0,0,0,0,0,4,1,0,0,0,5,1,0,1,0,0,5,0,0,0,0,3,1,17,0,0,2,0,3,0,1,1,10,2,0,0,0,0,1,2,0,0,0,3,0,10,2,0,0,0,0,3,0,9,4,0,0,0,2,5,4,0,8,5,0,0,0,1,8,1,3,0,0
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CHE,1,16,1,3,0,4,0,1,0,2,1,8,1,4,6,3,7,0,0,1,14,0,2,1,0,9,1,17,8,9,1,0,2,7,5,5,2,7,3,3,0,9,1,0,4,9,0,2,0,1,2,12,13,2,4,0,1,6,0,9,4,0,15,1,12,15,18,0,3,33,0,1,0,7,9,1,1,4,3
CIV,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0
COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CHL,7,28,0,1,0,17,2,0,0,3,0,8,10,5,0,5,10,1,0,0,15,5,3,1,2,1,0,26,5,13,0,4,1,8,3,1,2,2,16,17,0,0,3,3,10,9,2,4,0,8,5,7,9,0,5,0,1,3,2,5,25,0,0,2,10,16,5,1,11,16,0,0,0,11,8,2,0,0,1
CMR,1,4,0,0,0,4,0,0,0,2,0,1,2,0,0,0,1,0,0,0,3,0,1,0,0,0,0,5,1,5,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,0,0,0,2,0,2,0,0,0,0,0,1,0,2,7,0,0,0,2,4,3,0,0,7,0,0,0,0,2,0,0,0,0
CHN,51,109,2,8,3,89,0,36,3,26,30,36,26,18,8,167,54,5,0,9,63,15,24,17,7,10,7,104,206,83,69,2,5,35,33,70,12,40,31,29,0,3,1,10,104,55,7,43,1,28,19,178,351,0,13,0,2,33,4,95,143,1,4,6,82,102,98,7,57,158,1,0,1,27,53,27,6,1,13
COL,0,33,1,0,0,11,0,0,0,4,0,6,7,7,1,1,3,2,0,1,3,0,0,1,4,5,2,56,6,17,2,1,0,7,0,4,10,4,13,3,0,4,1,1,1,4,1,0,2,6,6,15,11,1,5,0,1,3,1,23,2,0,4,0,3,8,3,1,4,6,3,0,1,6,3,2,4,0,1
CRI,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,6,1,3,0,0,0,1,0,0,1,2,3,0,0,0,0,0,2,0,0,1,0,0,0,4,1,0,1,0,0,0,0,5,0,0,0,0,3,3,0,1,0,1,0,0,0,0,2,0,0,0,0
CUB,2,29,1,1,0,8,0,0,0,6,0,3,5,6,1,3,4,5,0,1,3,4,0,1,4,5,2,33,4,19,0,0,2,4,0,5,4,5,16,6,0,5,0,0,5,5,0,11,0,8,9,20,3,0,5,0,0,4,1,20,4,0,3,1,5,16,3,0,6,8,3,0,1,13,11,3,4,1,2
CYP,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,2,1,4,1,0,0,1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,1,3,0,0,0,0,0,0,3,0,1,0,1,0,2,2,0,1,2,0,0,0,0,1,0,0,0,0
CZE,0,4,0,0,0,3,0,0,0,5,0,1,3,0,0,2,3,0,0,1,2,1,0,0,0,3,1,15,1,4,0,0,0,0,0,1,0,0,2,2,0,3,0,1,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,6,3,0,2,0,3,4,0,0,1,2,0,0,1,6,1,2,0,0,0
DEU,25,74,3,4,0,54,0,2,7,15,2,13,12,28,4,15,25,7,0,5,36,10,128,8,5,64,7,138,30,79,9,2,3,27,7,27,4,29,31,23,0,16,2,5,23,41,1,20,1,13,21,82,76,0,10,0,5,39,6,62,52,8,36,0,24,105,36,2,19,48,2,0,0,35,43,20,5,4,5
DNK,3,1,0,0,0,4,0,1,1,1,1,1,0,0,0,2,3,1,0,2,3,1,1,0,0,2,0,13,7,2,3,0,0,4,1,4,0,4,2,3,0,0,0,0,4,3,0,2,0,3,0,5,5,0,0,0,1,4,0,1,2,0,1,0,1,16,1,0,3,2,0,0,0,0,1,2,0,1,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM,0,6,0,0,0,0,0,0,0,0,0,2,1,0,2,0,2,0,0,1,0,0,0,0,1,2,0,15,2,4,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0
DZA,0,6,0,5,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,2,2,4,1,0,0,1,1,1,1,0,5,1,0,0,0,0,3,0,0,0,0,0,0,5,1,0,1,0,0,1,0,5,0,0,0,0,1,2,1,0,2,2,0,0,1,1,3,0,0,0,0
ECU,0,2,0,0,0,2,0,2,0,1,1,2,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,8,0,5,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,2,6,0,1,0,0,0,0,3,2,0,0,0,1,4,0,0,1,5,0,0,0,2,1,0,0,0,1
EST,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,4,0,1,0,0,0,1,1,0,0
EGY,18,44,1,44,1,17,1,1,0,8,1,6,9,4,4,0,15,6,0,0,4,5,6,3,0,0,1,57,1,47,4,1,1,17,6,2,8,7,33,26,0,0,0,0,14,5,0,11,0,16,4,20,11,1,7,0,0,5,1,43,23,1,0,0,19,35,15,1,15,20,0,0,0,8,23,5,9,0,9
ESH,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ERI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,11,38,8,9,0,55,0,2,0,3,1,18,6,6,10,14,21,2,0,3,35,4,16,3,3,89,3,90,10,29,7,3,4,19,2,18,11,41,10,9,0,28,0,0,13,52,0,8,0,8,8,64,55,0,7,0,0,53,2,27,29,0,58,1,33,126,31,1,6,13,0,0,1,37,23,14,2,0,3
ETH,1,5,0,3,0,3,0,0,0,0,0,1,1,0,2,0,2,0,0,0,3,0,1,0,0,1,0,4,2,3,0,0,0,0,1,1,4,0,4,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,1,0,0,0,0,6,0,0,0,0,2,6,3,0,2,1,0,0,0,0,3,0,0,0,0
FIN,1,8,0,1,0,5,0,0,1,1,0,1,0,1,2,3,0,0,0,0,5,1,0,3,0,1,0,5,6,5,3,0,2,0,1,0,0,2,2,2,0,4,0,1,7,1,1,4,0,0,1,5,5,0,0,0,0,3,0,5,1,0,4,0,3,8,2,0,2,7,0,0,1,5,1,2,0,0,0
FJI,4,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0
FLK,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FRA,8,60,13,8,1,94,0,4,5,19,4,40,18,18,15,34,26,5,0,27,51,7,15,16,45,30,14,192,40,41,20,1,7,37,19,73,13,35,31,22,1,16,3,3,36,57,2,17,7,18,49,126,109,0,17,1,5,84,10,53,55,1,31,4,44,196,41,5,32,74,7,6,5,30,38,48,3,2,4
GAB,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,137,148,19,27,4,3652,0,10,34,216,8,110,67,40,21,96,104,10,0,389,289,50,16,48,93,181,31,541,135,95,210,10,18,154,42,130,35,152,59,74,0,10,0,13,91,414,74,69,13,32,102,250,242,0,31,0,35,501,24,183,266,0,47,16,142,2978,139,8,61,265,18,1,12,79,87,69,2,15,30
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
GUF,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
GGY,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,4,1,2,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,14,0,1,0,2,0,1,1,0,0,0,0,1,0,2,3,0,2,0,0,3,0,0,2,3,0,0,0,1,1,0,0,0,0
GIB,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,1,0,1,4,0,0,0,0,0,0,0,0,0
GRL,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0
GMB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
GIN,2,7,0,0,0,9,0,0,1,0,0,8,3,1,2,0,8,0,0,0,0,0,1,0,0,0,0,2,0,10,1,1,0,8,0,0,1,1,8,1,0,0,1,0,2,1,1,3,0,4,1,3,2,0,1,0,0,2,2,4,3,0,1,0,6,5,1,0,9,3,0,0,0,3,4,0,0,0,7
GNQ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,5,29,1,0,0,13,0,1,0,1,1,0,1,1,1,14,6,5,0,2,5,2,10,3,0,2,1,26,7,24,4,0,1,1,2,0,3,4,13,6,0,2,0,2,4,5,0,2,0,2,2,17,24,0,2,0,1,11,0,22,6,0,0,1,8,32,9,0,2,5,0,0,0,2,16,1,0,1,0
SGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,2,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GNB,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GUY,1,5,0,0,0,1,0,0,0,2,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,3,0,8,1,5,0,0,0,1,0,2,0,0,6,0,0,1,0,0,0,0,0,2,0,0,2,5,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0
HKG,29,8,1,0,0,14,0,1,0,1,1,15,2,0,0,8,9,0,0,3,13,2,1,0,7,0,2,39,15,7,5,0,3,1,7,15,3,2,3,4,0,0,1,1,5,54,0,2,0,1,3,22,37,0,3,0,0,1,0,8,42,0,0,0,10,21,13,0,3,14,0,0,0,0,3,8,1,1,1
HND,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,8,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
HRV,0,5,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,3,0,0,0,1,2,0,4,1,5,1,0,0,0,1,2,1,0,3,1,0,3,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,1,3,0,0,0,3,0,0,1,2,0,1,0,0,0
HTI,0,7,0,0,0,1,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,1,0,0,3,0,1,10,0,10,0,0,0,1,0,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
HUN,0,8,0,0,0,3,0,0,1,1,0,0,0,1,0,2,0,0,0,1,4,0,1,2,1,1,1,9,3,9,2,0,0,5,1,2,1,5,6,1,0,0,0,0,1,0,0,0,0,0,2,6,8,0,0,0,0,0,1,6,0,0,0,0,2,8,1,0,0,1,0,0,0,1,3,2,0,0,0
IDN,26,13,0,2,0,14,0,0,3,1,0,2,7,3,2,7,8,0,0,3,15,1,1,2,0,1,1,17,13,11,4,1,3,3,8,0,1,12,8,3,0,0,1,0,13,23,1,4,0,2,1,9,17,0,3,0,0,6,0,13,62,0,1,1,4,29,29,0,6,26,1,0,1,1,0,1,0,2,2
IRL,2,6,0,0,0,130,0,1,1,8,1,3,2,2,1,3,0,0,0,5,4,1,1,4,4,8,2,44,6,7,4,0,2,3,2,8,0,7,2,5,0,2,0,1,1,10,1,5,3,4,6,12,17,0,1,0,1,585,0,6,8,0,1,0,8,48,4,0,3,4,6,0,1,3,3,3,0,0,3
ISR,8,61,1,17,2,37,0,0,0,61,0,4,8,6,1,4,22,9,0,5,5,16,9,4,2,2,0,120,6,69,3,0,1,18,4,9,18,11,43,30,0,3,0,2,11,13,4,35,2,16,23,49,20,2,9,0,0,12,4,43,32,0,1,3,24,43,26,2,35,32,1,8,4,17,37,12,14,0,39
IMN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,21,44,0,3,1,83,1,7,0,6,7,12,6,7,3,33,23,2,0,34,4378,2,10,8,5,0,6,81,54,30,18,0,13,26,544,17,11,2721,24,8,0,1,0,2,1547,39,3,8,0,17,9,126,50,0,9,0,1,11,2,33,24,0,0,4,37,120,5698,3,39,9392,0,0,1,9,10,7,4,2,1
IRQ,7,50,0,18,1,19,0,0,1,13,0,3,9,2,2,2,11,6,0,3,16,10,8,2,0,0,1,26,3,45,2,2,0,5,8,1,8,14,37,9,0,0,0,2,33,2,1,12,1,16,3,27,8,0,8,0,1,4,4,36,14,1,0,0,3,42,29,4,17,28,1,0,1,5,28,1,11,0,5
