country,abc.net.au,abcnews.go.com,adweek.com,alarabiya.net,alternet.org,bbc.co.uk,bdnews24.com,bloomberg.com,boingboing.net,breitbart.com,businessweek.com,cbc.ca,cbsnews.com,chicagotribune.com,chron.com,cnbc.com,"cnn.com,money.cnn.com,ireport.cnn.com",commondreams.org,dailycurrant.com,digitalspy.co.uk,dnaindia.com,drudgereport.com,dw.de,economist.com,eonline.com,espn.go.com,ew.com,examiner.com,forbes.com,foxnews.com,ft.com,gawker.com,good.is,guardianlv.com,hindustantimes.com,hollywoodreporter.com,huffingtonpost.com,indianexpress.com,ksl.com,latimes.com,mediabistro.com,msn.foxsports.com,nationalgeographic.com,nbcnews.com,ndtv.com,"news.com.au,heraldsun.com.au","news.sky.com,sky.com",newsmax.com,newyorker.com,npr.org,nypost.com,nytimes.com,online.wsj.com,pbs.org,rawstory.com,rd.com,rollingstone.com,rte.ie,salon.com,sfgate.com,smh.com.au,spiegel.de,sportsillustrated.cnn.com,theatlantic.com,theglobeandmail.com,theguardian.com,thehindu.com,theweek.com,time.com,"timesofindia.indiatimes.com,economictimes.indiatimes.com,navbharattimes.indiatimes.com",tmz.com,townhall.com,tvguide.com,usatoday.com,usnews.com,variety.com,washingtonpost.com,wired.com,worldnetdaily.com
SOM,1,5,0,0,0,7,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,3,0,0,0,1,2,4,4,0,0,6,0,0,0,0,3,1,0,1,0
SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SSD,4,14,0,1,0,16,0,0,0,0,0,3,1,0,0,0,0,1,0,0,2,0,8,0,0,0,0,8,0,17,1,0,7,1,1,0,0,0,10,4,0,0,1,0,6,2,0,0,0,6,1,7,3,0,4,0,0,3,0,12,3,0,0,0,2,7,3,0,4,8,0,0,0,2,10,0,0,0,2
SLV,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
SYR,10,63,1,43,0,50,0,0,2,20,0,12,12,5,2,2,17,1,0,1,21,3,14,2,0,0,1,23,1,59,5,0,3,8,10,0,5,5,47,27,0,0,0,5,22,4,1,10,1,13,6,38,19,0,12,0,0,11,1,43,20,0,0,1,5,52,15,1,28,24,0,1,0,4,24,0,4,0,7
TCA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCD,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0
ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THA,5,23,1,0,0,5,1,0,0,2,0,2,1,1,1,1,8,0,0,5,13,1,0,1,18,2,1,18,3,20,3,0,2,7,4,1,3,6,14,1,0,0,0,0,9,7,0,2,0,2,6,9,11,0,0,0,0,4,0,13,7,0,0,1,4,11,20,0,1,18,2,0,0,5,0,1,0,1,1
TJK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
TLS,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
