rank,domain,url,type,country
1,facebook.com,facebook.com/#!/pages/Bill-Farmer/104106626293973,,
2,youtube.com,youtube.com,,
3,twitter.com,twitter.com/#!/nbctheevent,,
4,imdb.com,imdb.com,,
5,bbc.co.uk,bbc.co.uk,,
6,cnn.com,cnn.com,,
7,espn.go.com,espn.go.com,,
8,weather.com,weather.com,,
9,bbc.co.uk,bbc.co.uk/news/,,
10,livejournal.com,livejournal.com,,
11,deviantart.com,deviantart.com,,
12,foxnews.com,foxnews.com,,
13,www.facebook.com,https://www.facebook.com/,,
14,pandora.com,pandora.com,,
15,movies.yahoo.com,movies.yahoo.com,,
16,nbcnews.com,nbcnews.com,,
17,ndtv.com,ndtv.com,,
18,hulu.com,hulu.com,,
19,scribd.com,scribd.com,,
20,tmz.com,tmz.com,,
21,tv.yahoo.com,tv.yahoo.com,,
22,abcnews.go.com,abcnews.go.com,,
23,money.cnn.com,money.cnn.com,,
24,eonline.com,eonline.com,,
25,msn.foxsports.com,msn.foxsports.com,,
26,rottentomatoes.com,rottentomatoes.com,,
27,azlyrics.com,azlyrics.com,,
28,npr.org,npr.org,,
29,foodnetwork.com,foodnetwork.com,,
30,urbandictionary.com,urbandictionary.com,,
31,cnbc.com,cnbc.com,,
32,wired.com,wired.com,,
33,gawker.com,gawker.com,,
34,deezer.com,deezer.com,,
35,sky.com,sky.com,,
36,comcast.com,comcast.com,,
37,fandango.com,fandango.com,,
38,cbsnews.com,cbsnews.com,,
39,spotify.com,spotify.com,,
40,ultimate-guitar.com,ultimate-guitar.com,,
41,last.fm,last.fm,,
42,cbc.ca,cbc.ca,,
43,cbs.com,cbs.com,,
44,foxnews.com,foxnews.com/entertainment/,,
45,sportsillustrated.cnn.com,sportsillustrated.cnn.com,,
46,ksl.com,ksl.com,,
47,salon.com,salon.com,,
48,pbs.org,pbs.org,,
49,hgtv.com,hgtv.com,,
50,theatlantic.com,theatlantic.com,,
51,tvguide.com,tvguide.com,,
52,ew.com,ew.com,,
53,home.disney.go.com,home.disney.go.com,,
54,dw.de,dw.de,,
55,metrolyrics.com,metrolyrics.com,,
56,hollywoodreporter.com,hollywoodreporter.com,,
57,discogs.com,discogs.com,,
58,rollingstone.com,rollingstone.com,,
59,mtv.com,mtv.com,,
60,discovery.com,discovery.com,,
61,abc.net.au,abc.net.au,,
62,fanfiction.net,fanfiction.net,,
63,egotastic.com,egotastic.com,,
64,skyscrapercity.com,skyscrapercity.com,,
65,billboard.com,billboard.com/#/news/phair-play-liz-indulges-in-the-major-label-1933414.story,,
66,filmaffinity.com,filmaffinity.com,,
67,abc.go.com,abc.go.com,,
68,metacritic.com,metacritic.com,,
69,cbc.ca,cbc.ca/news/,,
70,rapgenius.com,rapgenius.com,,
71,directv.com,directv.com,,
72,tv.com,tv.com,,
73,tv.msn.com,tv.msn.com,,
74,nbc.com,nbc.com,,
75,on.aol.com,on.aol.com,,
76,boxofficemojo.com,boxofficemojo.com,,
77,xkcd.com,xkcd.com,,
78,pbskids.org,pbskids.org,,
79,allmusic.com,allmusic.com,,
80,moviefone.com,moviefone.com,,
81,tsn.ca,tsn.ca,,
82,newyorker.com,newyorker.com,,
83,cox.com,cox.com,,
84,voanews.com,voanews.com,,
85,variety.com,variety.com,,
86,nick.com,nick.com,,
87,b92.net,b92.net,,
88,abc.net.au,abc.net.au/news/,,
89,oprah.com,oprah.com,,
90,cartoonnetwork.com,cartoonnetwork.com,,
91,canon.com,canon.com,,
92,bbc.co.uk,bbc.co.uk/radio/,,
93,boingboing.net,boingboing.net,,
94,irib.ir,irib.ir,,
95,heavy.com,heavy.com,,
96,nickjr.com,nickjr.com,,
97,lyricsfreak.com,lyricsfreak.com,,
98,rai.it,rai.it,,
99,rfi.fr,rfi.fr,,
100,lipsum.com,lipsum.com,,
