rank,domain,url,CD type,CD country,LL type,LL country,RB type,RB country,type,country,
1,facebook.com,facebook.com/#!/pages/Bill-Farmer/104106626293973,mismatch,US,mismatch,US,mismatch,US,mismatch,us,
2,youtube.com,youtube.com,mismatch,US,mismatch,US,mismatch,US,mismatch,us,
3,twitter.com,twitter.com/#!/nbctheevent,mismatch,US,mismatch,US,mismatch,US,mismatch,us,
4,imdb.com,imdb.com,mismatch,US,mismatch,US,mismatch,US,mismatch,us,
5,bbc.co.uk,bbc.co.uk,Broadcast,GB,broadcast,GB,broadcast,GB,broadcast,gb,
6,cnn.com,cnn.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
7,espn.go.com,espn.go.com,Broadcast,US,online,US,broadcast,US,broadcast,us,
8,weather.com,weather.com,Weather,US,weather,GB,weather,US,weather,us,
9,bbc.co.uk,bbc.co.uk/news/,Broadcast,GB,broadcast,GB,broadcast,GB,broadcast,gb,
10,livejournal.com,livejournal.com,Online,US,mismatch,US,mismatch,RU,mismatch,us,
11,deviantart.com,deviantart.com,Mismatch,,mismatch,US,mismatch,US,mismatch,us,
12,foxnews.com,foxnews.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
13,www.facebook.com,https://www.facebook.com/,mismatch,US,mismatch,US,mismatch,US,mismatch,us,
14,pandora.com,pandora.com,Mismatch ,US,mismatch,US,mismatch,US,mismatch,us,
15,movies.yahoo.com,movies.yahoo.com,Online,US,mismatch,US,mismatch,US,mismatch,us,
16,nbcnews.com,nbcnews.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
17,ndtv.com,ndtv.com,broadcast,IN,broadcast,IN,broadcast,US,broadcast,in,
18,hulu.com,hulu.com,Broadcast,US,mismatch,US,mismatch,US,mismatch,us,
19,scribd.com,scribd.com,Mismatch,,mismatch,US,mismatch,US,mismatch,us,
20,tmz.com,tmz.com,Online,US,aggregator,US,online,US,online,us,
21,tv.yahoo.com,tv.yahoo.com,Broadcast,US,mismatch,US,mismatch,US,mismatch,us,
22,abcnews.go.com,abcnews.go.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
23,money.cnn.com,money.cnn.com,Broadcast,US,aggregator,US,broadcast,US,broadcast,us,
24,eonline.com,eonline.com,Broadcast,US,online,US,broadcast,US,broadcast,us,
25,msn.foxsports.com,msn.foxsports.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
26,rottentomatoes.com,rottentomatoes.com,Online,US,mismatch,US,mismatch,US,mismatch,us,
27,azlyrics.com,azlyrics.com,Mismatch,,mismatch,US,mismatch,US,mismatch,us,
28,npr.org,npr.org,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,
29,foodnetwork.com,foodnetwork.com,Mismatch,US,mismatch,US,mismatch,US,mismatch,us,
