domain,type,country,global rank,media_id
sportsillustrated.cnn.com,magazine,us,63,25254
forbes.com,magazine,us,165,1104
spiegel.de,magazine,de,191,19831
time.com,magazine,us,332,4419
wired.com,magazine,us,646,4434
nationalgeographic.com,magazine,us,880,5593
businessweek.com,magazine,us,898,5982
ew.com,magazine,us,1253,72605
tvguide.com,magazine,us,1321,20666
usnews.com,magazine,us,1400,1100
theatlantic.com,magazine,us,1406,1110
rollingstone.com,magazine,us,1458,5521
economist.com,magazine,gb,1914,1106
newyorker.com,magazine,us,2603,1101
variety.com,magazine,us,2791,19076
adweek.com,magazine,us,3694,18687
townhall.com,magazine,us,4516,759
theweek.com,magazine,gb,5190,21542
rd.com,magazine,us,6589,71800
good.is,magazine,us,9621,20563
