"","HHI.Index","url","country","type","raw.totals","ABW","AFG","AGO","AIA","ALB","ARE","ARG","ARM","ASM","ATA","ATF","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLM","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CCK","CHE","CHL","CHN","CIV","CMR","COD","COG","COK","COL","COM","CRI","CUB","CYM","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FLK","FRA","FSM","GAB","GBR","GEO","GGY","GHA","GIB","GIN","GMB","GNB","GNQ","GRC","GRD","GRL","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IMN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JEY","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LIE","LKA","LSO","LTU","LUX","LVA","MAC","MAF","MAR","MCO","MDA","MDG","MDV","MEX","MHL","MKD","MLI","MLT","MMR","MNE","MNG","MNP","MOZ","MRT","MTQ","MUS","MWI","MYS","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NRU","NZL","OMN","PAK","PAN","PER","PHL","PLW","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SGS","SHN","SJM","SLB","SLE","SLV","SMR","SOM","SRB","SSD","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCA","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TUV","TWN","TZA","UGA","UKR","URY","USA","UVK","UZB","VAT","VCT","VEN","VGB","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"1",748,"GDP_percent",NA,NA,NA,NA,0.04,0.15,NA,0.03,0.313,0.894,0.023,NA,NA,NA,0.002,1.149,0.415,0.118,0.007,0.486,0.019,0.031,0.374,0.121,0.047,NA,0.037,NA,0.171,0.003,NA,0.068,2.786,0.008,NA,0.005,0.039,0.003,1.754,NA,0.427,0.385,15.398,NA,0.061,0.057,NA,NA,0.606,0.001,0.071,NA,NA,0.026,0.329,3.716,0.003,0.001,0.244,0.119,0.328,0.183,0.636,0.005,NA,1.599,0.034,0.14,0.223,0.005,NA,2.619,NA,0.035,2.748,0.032,NA,0.102,NA,0.014,NA,0.002,0.02,0.305,0.002,NA,0.094,NA,NA,0.008,NA,0.045,0.09,0.016,0.228,1.486,NA,5.827,0.217,NA,0.295,0.015,0.315,2.078,0.029,NA,0.046,5.401,0.284,0.092,NA,0.046,0.001,NA,NA,0.178,NA,0.076,0.003,0.081,NA,NA,0.156,0.005,0.078,0.049,0.045,NA,NA,0.206,NA,0.015,0.026,0.004,2.118,0.001,NA,0.021,0.013,NA,0.009,0.02,NA,0.032,0.009,NA,0.024,0.017,0.604,0.02,NA,0.016,0.551,0.032,0.805,0.322,0.048,NA,0.157,0.109,0.661,0.071,0.396,0.525,NA,0.023,0.94,NA,NA,0.281,0.053,NA,NA,0.229,0.328,2.938,0.019,1.077,0.104,0.032,0.401,NA,NA,NA,0.002,0.011,0.055,0.002,NA,0.093,0.017,0.008,NA,0.066,0.456,0.008,0.003,NA,NA,0.032,0.008,0.774,0.022,0.062,0.03,0.001,0.032,0.125,1.35,NA,NA,0.091,0.063,0.387,0.065,19.311,0.016,0.131,NA,NA,0.469,NA,NA,0.414,0.001,0.001,0.071,0.686,0.029,0.012
"2",752,"percent_population",NA,NA,NA,NA,0.36,0.29,NA,0.039,0.13,0.6,0.042,NA,NA,NA,0.0012,0.328,0.12,0.13,0.13,0.16,0.14,0.24,2.13,0.101,0.017,NA,0.053,NA,0.13,0.0049,NA,0.14,2.83,0.004,NA,0.0104,0.028,0.064,0.49,NA,0.11,0.25,19,NA,0.28,0.94,NA,NA,0.66,0.0104,0.065,NA,NA,0.012,0.15,1.13,0.012,0.001,0.079,0.13,0.54,0.22,1.21,0.088,NA,0.65,0.018,1.21,0.076,0.012,NA,0.92,NA,0.023,0.89,0.063,NA,0.34,NA,0.15,NA,0.024,0.023,0.15,0.0014,NA,0.22,NA,NA,0.011,NA,0.12,0.06,0.15,0.14,3.45,NA,17.4,0.064,NA,0.48,0.0045,0.11,0.84,0.038,NA,0.0919,1.77,0.24,0.62,NA,0.21,0.0015,NA,NA,0.043,NA,0.067,0.06,0.087,NA,NA,0.28,0.029,0.041,0.0075,0.028,NA,NA,0.46,NA,0.05,0.3,0.0044,1.67,0.00078,NA,0.21,0.0058,NA,0.0087,0.041,NA,0.33,0.048,NA,0.018,0.23,0.42,0.029,NA,0.24,2.42,0.085,0.24,0.071,0.37,NA,0.063,0.056,2.6,0.048,0.43,1.39,0.00029,0.103,0.54,NA,NA,0.15,0.095,NA,NA,0.03,0.28,2.04,0.15,0.42,0.52,0.18,0.075,NA,NA,NA,0.0081,0.086,0.089,0.00046,NA,0.1,0.16,0.0075,NA,0.029,0.13,0.017,0.0013,0.31,NA,0.18,0.086,0.9,0.11,0.073,0.015,0.0014,0.019,0.15,1.07,0.00016,NA,0.63,0.49,0.6,0.046,4.44,0.025,0.42,NA,NA,0.4,NA,NA,1.25,0.0037,0.0026,0.35,0.74,0.2,0.18
"3",552,"alarabiya.net","ARE","broadcast",497,0,1.20724346076459,0.201207243460765,0,0,0,0,0,0,0,0,0,0.804828973843058,0,0,0,0,0,0,0.201207243460765,0,0.402414486921529,0,0,0,0,0,0.201207243460765,0,1.81086519114688,0,0.201207243460765,0,0,0,0.201207243460765,0,0.603621730382294,0.201207243460765,1.60965794768612,0,0,0,0,0,0,0,0,0.201207243460765,0,0,0,0.804828973843058,0,0,0,0,1.00603621730382,0,8.85311871227364,0,0,1.81086519114688,0.201207243460765,0.603621730382294,0.201207243460765,0,0,1.60965794768612,0,0,5.43259557344064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402414486921529,0,0.603621730382294,0,5.03018108651912,3.62173038229376,0,3.420523138833,0.402414486921529,0,0,0.402414486921529,0.402414486921529,0,0,0,0,0,0,0.201207243460765,0.804828973843058,0,2.41448692152917,0,2.41448692152917,0,0,0,0,0,0,0,0,0,1.20724346076459,0,0,0,0,0.402414486921529,0,0,0,0,0.402414486921529,0,0,0,0.201207243460765,0,0,0,0,0.603621730382294,0,0,0,0.201207243460765,0,0,0,0,0,0,0.603621730382294,1.40845070422535,0,0,0,0,0,0,0,0.402414486921529,0.402414486921529,0,1.20724346076459,0,1.81086519114688,0,2.8169014084507,0,6.841046277666,0.201207243460765,0,0.201207243460765,0,0,0,0,0,0,0,0,0,0.201207243460765,0,0,0,0,0,0,8.65191146881288,0,0,0,0,0,0,0,0,0,1.40845070422535,3.82293762575453,0,0,0.201207243460765,0,2.8169014084507,0,14.0845070422535,0,0,0,0,0,0,0,0,0,0,1.20724346076459,0.201207243460765,0,0
"4",828,"abc.net.au","AUS","broadcast",1312,0,1.82926829268293,0,0,0.228658536585366,1.21951219512195,0.457317073170732,0,0,0.38109756097561,0,0.0762195121951219,0,0,0,0,0.457317073170732,0,0,0.457317073170732,0.152439024390244,0.457317073170732,0.152439024390244,0,0,0,0,0,0,1.14329268292683,0,0,0,0,0.0762195121951219,1.52439024390244,0.0762195121951219,0.0762195121951219,0.533536585365854,3.88719512195122,0,0.0762195121951219,0,0,0,0,0,0,0.152439024390244,0,0,0,1.90548780487805,0,0,0.228658536585366,0,0,0,1.3719512195122,0,0,0.838414634146342,0,0.0762195121951219,0.0762195121951219,0.304878048780488,0,0.609756097560976,0,0,10.4420731707317,0,0,0.152439024390244,0,0.152439024390244,0,0,0,0.38109756097561,0,0,0,0,0,0.0762195121951219,2.21036585365854,0,0,0,0,1.98170731707317,0,1.60060975609756,0.152439024390244,0.0762195121951219,0.533536585365854,0,0.609756097560976,1.98170731707317,0.0762195121951219,0,0.0762195121951219,4.80182926829268,0.0762195121951219,0.38109756097561,0,1.14329268292683,0,0,1.60060975609756,0,0,0.0762195121951219,0,0.152439024390244,0,0,0.76219512195122,0,0,0,0.0762195121951219,0,0,0,0.304878048780488,0,0,0,0.228658536585366,0,0,0,0,0.304878048780488,0,0,0,0,0,0,0,0,2.13414634146341,0,0,0,0.609756097560976,0,0.38109756097561,0.152439024390244,0.228658536585366,0.304878048780488,4.72560975609756,0.0762195121951219,0.76219512195122,0,0.0762195121951219,0.533536585365854,0,1.98170731707317,0.0762195121951219,0,0.38109756097561,0.304878048780488,0,0.38109756097561,0,0.304878048780488,0.228658536585366,1.67682926829268,0.152439024390244,0.228658536585366,0.0762195121951219,0,0.38109756097561,0,0,0,1.14329268292683,0,0,0,0.0762195121951219,0,0.304878048780488,0,0,0.0762195121951219,0.152439024390244,0,0,0.76219512195122,0,0,0.0762195121951219,0.38109756097561,0,0,0.0762195121951219,0.0762195121951219,0,0.152439024390244,0.533536585365854,0,0.152439024390244,0,0.0762195121951219,2.51524390243902,0.0762195121951219,24.3140243902439,0,0,0.0762195121951219,0,0.0762195121951219,0,0,0.533536585365854,0,0.152439024390244,0.228658536585366,2.59146341463415,0,0
"5",1457,"news.com.au","AUS","online",2683,0,0.93179276928811,0,0,0.111815132314573,0.559075661572866,0.633619083115915,0.149086843086098,0,0.111815132314573,0,0.0372717107715244,0,0.0745434215430488,0,0,0.223630264629146,0.111815132314573,0,0.186358553857622,0.0745434215430488,0.447260529258293,0.186358553857622,0.0372717107715244,0,0,0,0.0372717107715244,0.0745434215430488,1.04360790160268,0.0745434215430488,0.0372717107715244,0,0,0.0745434215430488,2.38538948937756,0,0.33544539694372,0.33544539694372,2.04994409243384,0,0.409988818486769,0,0,0,0.149086843086098,0,0,0.186358553857622,0,0,0,1.5281401416325,0,0,0.111815132314573,0.0372717107715244,0,0.0372717107715244,0.186358553857622,0,0,1.93812896011927,0,0,0.0372717107715244,0.298173686172195,0,2.12448751397689,0,0,15.4304882594111,0,0,0.521803950801342,0.0372717107715244,0.0372717107715244,0,0,0,0.186358553857622,0,0,0,0.0372717107715244,0,0,2.01267238166232,0.0372717107715244,0.0745434215430488,0,0,0.857249347745061,0.0372717107715244,1.45359672008945,0.372717107715244,0.298173686172195,0.0745434215430488,0,0.484532240029817,1.97540067089079,0.0745434215430488,0,0.149086843086098,2.01267238166232,0.0372717107715244,0.223630264629146,0,0.260901975400671,0,0,1.19269474468878,0,0,0.0372717107715244,0,0,0,0,0.521803950801342,0,0.0372717107715244,0,0,0,0,0.0372717107715244,0.260901975400671,0,0,0,0.186358553857622,0.0745434215430488,0,0,0,0.0372717107715244,0,0,0,0,0,0,0,0,2.01267238166232,0.0745434215430488,0,0,0.186358553857622,0.0372717107715244,0.372717107715244,0.186358553857622,0.33544539694372,0.0372717107715244,6.52254938501677,0.111815132314573,0.670890793887439,0,0.0745434215430488,0.186358553857622,0,0.298173686172195,0.0745434215430488,0,0.372717107715244,0.372717107715244,0,0.223630264629146,0,0.223630264629146,0.0372717107715244,0.857249347745061,0.0745434215430488,0.186358553857622,0,0.0372717107715244,0.260901975400671,0,0,0,0.260901975400671,0,0,0.0745434215430488,0,0,0.0745434215430488,0,0,0,0.0745434215430488,0,0,0.149086843086098,0,0,0,0.260901975400671,0.0372717107715244,0,0.0372717107715244,0.111815132314573,0,0.149086843086098,0.521803950801342,0,0,0,0.0745434215430488,1.22996645546031,0,33.4699962728289,0,0.0745434215430488,0.0745434215430488,0.0372717107715244,0.0745434215430488,0,0,0.186358553857622,0,0.149086843086098,0.0372717107715244,2.45993291092061,0,0.111815132314573
"6",1252,"smh.com.au","AUS","newspaper",2837,0,1.16320056397603,0.105745505816003,0,0.0352485019386676,0.422982023264011,0.458230525202679,0,0,0.105745505816003,0,0,0,0,0,0,0.0704970038773352,0,0,0.0704970038773352,0,0.14099400775467,0.0352485019386676,0.0352485019386676,0,0,0,0.105745505816003,0,0.845964046528022,0,0,0,0,0.14099400775467,1.1984490659147,0,0.14099400775467,0.88121254846669,5.04053577722947,0.0352485019386676,0.246739513570673,0.105745505816003,0,0,0.0704970038773352,0,0,0.14099400775467,0,0,0.105745505816003,1.83292210081072,0,0,0.0704970038773352,0,0,0.0704970038773352,0.810715544589355,0,0,1.02220655622136,0,0,0.0352485019386676,0.0352485019386676,0,1.93866760662672,0,0,9.37610151568558,0,0,0.105745505816003,0.0704970038773352,0.105745505816003,0.0352485019386676,0,0,0.211491011632006,0,0,0,0,0,0,1.48043708142404,0,0,0,0,2.18540712019739,0,0.845964046528022,0.281988015509341,0.317236517448008,0.493479027141347,0,1.12795206203736,1.55093408530137,0.105745505816003,0,0.14099400775467,2.99612266478675,0.0704970038773352,0.0704970038773352,0,0.387733521325344,0.0352485019386676,0,1.4099400775467,0,0.0352485019386676,0.0704970038773352,0.0352485019386676,0.317236517448008,0,0,0.14099400775467,0,0.0352485019386676,0,0.0352485019386676,0.0352485019386676,0,0.0704970038773352,0.105745505816003,0,0,0,0.352485019386676,0,0,0,0,0.176242509693338,0,0,0,0,0,0,0,0.0704970038773352,1.90341910468805,0,0,0.0352485019386676,0.246739513570673,0.0352485019386676,0.176242509693338,0.0704970038773352,0.211491011632006,0.0704970038773352,6.66196686640818,0.105745505816003,0.317236517448008,0,0.0704970038773352,0.281988015509341,0,0.916461050405358,0.0704970038773352,0,0.211491011632006,0.634473034896017,0.0352485019386676,0.281988015509341,0,0.14099400775467,0.0352485019386676,2.18540712019739,0.105745505816003,0.211491011632006,0,0.0352485019386676,0.458230525202679,0,0,0,0.317236517448008,0,0,0,0,0.0352485019386676,0.105745505816003,0,0,0,0.0704970038773352,0,0,0.704970038773352,0,0,0,0.246739513570673,0,0,0.0704970038773352,0.14099400775467,0,0.105745505816003,0.916461050405358,0,0.0704970038773352,0.0352485019386676,0,3.24286217835742,0.0352485019386676,32.0056397603102,0,0,0.387733521325344,0,0.0704970038773352,0,0,0.176242509693338,0.0352485019386676,0.0352485019386676,0,3.24286217835742,0.0352485019386676,0
"7",1094,"bdnews24.com","BGD","online",16,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,18.75,0,12.5,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0
"8",2804,"theglobeandmail.com","CAN","newspaper",2313,0,0.648508430609598,0.0432338953739732,0,0.0432338953739732,0.216169476869866,0.0864677907479464,0,0,0.0432338953739732,0,0,1.98875918720277,0,0.0432338953739732,0,0.172935581495893,0,0,0.216169476869866,0.0432338953739732,0.12970168612192,0.0864677907479464,0,0,0.0864677907479464,0,0,0,1.46995244271509,0.0432338953739732,0,0.0432338953739732,0,0.0864677907479464,0,0,0.518806744487678,0.432338953739732,3.5451794206658,0,0.0864677907479464,0.0864677907479464,0,0,0.12970168612192,0,0.12970168612192,0.216169476869866,0,0,0.12970168612192,1.03761348897536,0,0,0.0432338953739732,0,0.0432338953739732,0.0432338953739732,0.821444012105491,0,0,1.42671854734112,0,0.0864677907479464,0.12970168612192,0,0,1.90229139645482,0,0,6.13921314310419,0,0,0,0,0.259403372243839,0,0,0,0.345871162991786,0,0,0,0,0,0,0.432338953739732,0,0.0432338953739732,0,0.0864677907479464,0.172935581495893,0,1.59965412883701,0.345871162991786,0.216169476869866,0.12970168612192,0,1.03761348897536,0.95114569822741,0.12970168612192,0,0.0432338953739732,0.907911802853437,0.0432338953739732,0.0432338953739732,0,0,0,0,1.85905750108085,0,0,0.0432338953739732,0,0.172935581495893,0,0,0.0432338953739732,0,0.0432338953739732,0,0.0432338953739732,0.0432338953739732,0,0,0.12970168612192,0.0432338953739732,0.0432338953739732,0,0.518806744487678,0,0,0,0.0432338953739732,0,0,0,0,0.0432338953739732,0.0432338953739732,0,0,0,0.864677907479464,0,0,0,0.475572849113705,0.12970168612192,0.302637267617812,0.0432338953739732,0.259403372243839,0,0.518806744487678,0,0.345871162991786,0,0.0864677907479464,0.216169476869866,0,0.0432338953739732,0.302637267617812,0.0432338953739732,0.216169476869866,0.0864677907479464,0,0.259403372243839,0,0,0.0432338953739732,3.41547773454388,0.562040639861652,0.216169476869866,0.0432338953739732,0,0.0432338953739732,0,0,0,0.0432338953739732,0,0.0864677907479464,0,0.0864677907479464,0,0.0864677907479464,0,0.0432338953739732,0,0.216169476869866,0,0,0.216169476869866,0,0,0,0.172935581495893,0,0,0,0,0,0.172935581495893,0.389105058365759,0,0,0.0864677907479464,0.0432338953739732,4.28015564202335,0,51.9239083441418,0,0,0.172935581495893,0,0.12970168612192,0,0,0.216169476869866,0,0,0.0864677907479464,0.648508430609598,0,0.0432338953739732
"9",2804,"cbc.ca","CAN","broadcast",1882,0,1.06269925611052,0.106269925611052,0,0.26567481402763,0.212539851222104,0.212539851222104,0,0,0.159404888416578,0,0.053134962805526,5.20722635494155,0.106269925611052,0,0.053134962805526,0.053134962805526,0,0,0.26567481402763,0,0.053134962805526,0.212539851222104,0,0,0.159404888416578,0.053134962805526,0,0.053134962805526,1.38150903294368,0.212539851222104,0,0,0,0.212539851222104,0,0.212539851222104,0.425079702444208,0.425079702444208,1.91285866099894,0,0.053134962805526,0.053134962805526,0,0,0.318809776833156,0,0,0.159404888416578,0,0,0.053134962805526,0.690754516471838,0,0,0.053134962805526,0.106269925611052,0,0.106269925611052,0.318809776833156,0.053134962805526,0.053134962805526,0.956429330499469,0,0.053134962805526,0.053134962805526,0,0,2.12539851222104,0,0.053134962805526,5.84484590860786,0,0.106269925611052,0,0,0.425079702444208,0,0,0,0,0,0,0.106269925611052,0,0,0,0.797024442082891,0,0.053134962805526,0.371944739638682,0,0.106269925611052,0,0.637619553666312,0.159404888416578,0.159404888416578,0.159404888416578,0.318809776833156,0.212539851222104,1.16896918172157,0.478214665249734,0,0.053134962805526,0.743889479277364,0,0.371944739638682,0,0.053134962805526,0,0,0.903294367693943,0,0,0.053134962805526,0.106269925611052,0,0,0.053134962805526,0.159404888416578,0,0,0,0,0,0,0,0.053134962805526,0.053134962805526,0,0,0.371944739638682,0,0,0.053134962805526,0,0,0,0,0,0,0,0,0.053134962805526,0,0.425079702444208,0,0,0,0.478214665249734,0.053134962805526,0.159404888416578,0.743889479277364,0.425079702444208,0.053134962805526,0.797024442082891,0,0.478214665249734,0.159404888416578,0.26567481402763,1.2221041445271,0,0.159404888416578,0,0,0.318809776833156,0.159404888416578,0,0.106269925611052,0,0,0.106269925611052,1.85972369819341,0.478214665249734,0.53134962805526,0.053134962805526,0,0,0,0,0,0.106269925611052,0,0.053134962805526,0,0,0,0.159404888416578,0,0.053134962805526,0,0.106269925611052,0,0,0.637619553666312,0,0,0,0.106269925611052,0,0,0.053134962805526,0,0,0,0.26567481402763,0.053134962805526,0,0.106269925611052,0.159404888416578,3.8788522848034,0,51.9659936238045,0,0,0.053134962805526,0,0.159404888416578,0,0,0.053134962805526,0,0,0.106269925611052,0.26567481402763,0.053134962805526,0.053134962805526
"10",1166,"spiegel.de","DEU","magazine",27,0,7.40740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037,3.7037037037037,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9259259259259,3.7037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0,7.40740740740741,0,14.8148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
