"","HHI.Index","ABW","AFG","AGO","AIA","ALB","ARE","ARG","ARM","ASM","ATA","ATF","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLM","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CCK","CHE","CHL","CHN","CIV","CMR","COD","COG","COK","COL","COM","CRI","CUB","CYM","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FLK","FRA","FSM","GAB","GBR","GEO","GGY","GHA","GIB","GIN","GMB","GNB","GNQ","GRC","GRD","GRL","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IMN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JEY","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LIE","LKA","LSO","LTU","LUX","LVA","MAC","MAF","MAR","MCO","MDA","MDG","MDV","MEX","MHL","MKD","MLI","MLT","MMR","MNE","MNG","MNP","MOZ","MRT","MTQ","MUS","MWI","MYS","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NRU","NZL","OMN","PAK","PAN","PER","PHL","PLW","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SGS","SHN","SJM","SLB","SLE","SLV","SMR","SOM","SRB","SSD","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCA","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TUV","TWN","TZA","UGA","UKR","URY","USA","UVK","UZB","VAT","VCT","VEN","VGB","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"GDP_percent",748,NA,0.04,0.15,NA,0.03,0.313,0.894,0.023,NA,NA,NA,0.002,1.149,0.415,0.118,0.007,0.486,0.019,0.031,0.374,0.121,0.047,NA,0.037,NA,0.171,0.003,NA,0.068,2.786,0.008,NA,0.005,0.039,0.003,1.754,NA,0.427,0.385,15.398,NA,0.061,0.057,NA,NA,0.606,0.001,0.071,NA,NA,0.026,0.329,3.716,0.003,0.001,0.244,0.119,0.328,0.183,0.636,0.005,NA,1.599,0.034,0.14,0.223,0.005,NA,2.619,NA,0.035,2.748,0.032,NA,0.102,NA,0.014,NA,0.002,0.02,0.305,0.002,NA,0.094,NA,NA,0.008,NA,0.045,0.09,0.016,0.228,1.486,NA,5.827,0.217,NA,0.295,0.015,0.315,2.078,0.029,NA,0.046,5.401,0.284,0.092,NA,0.046,0.001,NA,NA,0.178,NA,0.076,0.003,0.081,NA,NA,0.156,0.005,0.078,0.049,0.045,NA,NA,0.206,NA,0.015,0.026,0.004,2.118,0.001,NA,0.021,0.013,NA,0.009,0.02,NA,0.032,0.009,NA,0.024,0.017,0.604,0.02,NA,0.016,0.551,0.032,0.805,0.322,0.048,NA,0.157,0.109,0.661,0.071,0.396,0.525,NA,0.023,0.94,NA,NA,0.281,0.053,NA,NA,0.229,0.328,2.938,0.019,1.077,0.104,0.032,0.401,NA,NA,NA,0.002,0.011,0.055,0.002,NA,0.093,0.017,0.008,NA,0.066,0.456,0.008,0.003,NA,NA,0.032,0.008,0.774,0.022,0.062,0.03,0.001,0.032,0.125,1.35,NA,NA,0.091,0.063,0.387,0.065,19.311,0.016,0.131,NA,NA,0.469,NA,NA,0.414,0.001,0.001,0.071,0.686,0.029,0.012
"percent_population",752,NA,0.36,0.29,NA,0.039,0.13,0.6,0.042,NA,NA,NA,0.0012,0.328,0.12,0.13,0.13,0.16,0.14,0.24,2.13,0.101,0.017,NA,0.053,NA,0.13,0.0049,NA,0.14,2.83,0.004,NA,0.0104,0.028,0.064,0.49,NA,0.11,0.25,19,NA,0.28,0.94,NA,NA,0.66,0.0104,0.065,NA,NA,0.012,0.15,1.13,0.012,0.001,0.079,0.13,0.54,0.22,1.21,0.088,NA,0.65,0.018,1.21,0.076,0.012,NA,0.92,NA,0.023,0.89,0.063,NA,0.34,NA,0.15,NA,0.024,0.023,0.15,0.0014,NA,0.22,NA,NA,0.011,NA,0.12,0.06,0.15,0.14,3.45,NA,17.4,0.064,NA,0.48,0.0045,0.11,0.84,0.038,NA,0.0919,1.77,0.24,0.62,NA,0.21,0.0015,NA,NA,0.043,NA,0.067,0.06,0.087,NA,NA,0.28,0.029,0.041,0.0075,0.028,NA,NA,0.46,NA,0.05,0.3,0.0044,1.67,0.00078,NA,0.21,0.0058,NA,0.0087,0.041,NA,0.33,0.048,NA,0.018,0.23,0.42,0.029,NA,0.24,2.42,0.085,0.24,0.071,0.37,NA,0.063,0.056,2.6,0.048,0.43,1.39,0.00029,0.103,0.54,NA,NA,0.15,0.095,NA,NA,0.03,0.28,2.04,0.15,0.42,0.52,0.18,0.075,NA,NA,NA,0.0081,0.086,0.089,0.00046,NA,0.1,0.16,0.0075,NA,0.029,0.13,0.017,0.0013,0.31,NA,0.18,0.086,0.9,0.11,0.073,0.015,0.0014,0.019,0.15,1.07,0.00016,NA,0.63,0.49,0.6,0.046,4.44,0.025,0.42,NA,NA,0.4,NA,NA,1.25,0.0037,0.0026,0.35,0.74,0.2,0.18
"broadcast",2092,0.004,0.863,0.0455,0.002,0.0337,0.2751,0.2177,0.002,0.004,0.0495,0,0.0059,4.8219,0.0752,0.0119,0.0059,0.1267,0.0139,0.0099,0.1089,0.0455,0.1207,0.0594,0.0337,0,0.0257,0.0059,0.0158,0.0435,0.863,0.0099,0.0139,0,0.0079,0.1524,8.5847,0.0099,0.1643,0.285,1.7478,0.0119,0.0455,0.0831,0.004,0,0.2257,NA,0.0356,0.2316,0,0.0317,0.0574,1.1659,NA,0,0.0574,0.0435,0.0554,0.0317,0.5364,0.002,0.002,0.7324,0.0178,0.0515,0.0792,0.0218,0.002,1.0471,0.004,0.0079,9.9268,0,0.0139,0.0198,0.0178,0.1247,0.0079,0.0178,0.004,0.2534,0,0.0099,0.0198,0.0158,0,0.0495,0.2197,0.0079,0.0435,0.0732,0.0633,0.2296,0.002,3.7035,0.3523,0.4434,0.5166,0.0257,0.6413,0.6671,0.0891,0.0139,0.1069,0.96,0.0277,0.2118,0.002,0.0871,0,0.004,0.9224,0.0455,0.004,0.1623,0.0356,0.2474,0.0099,0.0099,0.1227,0,0.0178,0.0099,0.0317,0.0079,0.004,0.093,0.0475,0.0178,0.0079,0.002,0.5879,0,0.0435,0.0732,0.0257,0.1683,0,0.004,0.0059,0.0059,0.0119,0,0.0099,0.004,0.6591,0.004,0.002,0.0158,0.3306,0.0495,0.2712,0.093,0.2296,0.0099,0.4177,0.0198,0.5879,0.0218,0.0792,0.2969,0,0.0891,0.1425,0.1207,0.2118,0.1108,0.0099,0.1603,0.004,0.0653,0.0812,1.6073,0.1544,0.196,0.0713,0.0317,0.099,0.002,0,0,0.0732,0.0099,0.0198,0.002,0.0435,0.0297,0.1702,0,0.0198,0.0178,0.1227,NA,0.0079,0.7324,0.004,0.0059,0.0079,0.2177,0,0.0059,0.004,0.0079,0.0198,0.1762,0.291,0.002,0.0693,0.0218,0.0693,2.12,0.0238,43.1334,NA,0,0.1267,0.002,0.1841,0,0.0059,0.0673,0,0.004,0.1821,0.5443,0.0119,0.0356
"magazine",3891,0,0.5757,0.064,0,0.0448,0.1919,0.2175,0.0256,0,0.096,0,0.0128,1.369,0.1024,0.0128,0.0064,0.1727,0.0064,0.0064,0.1599,0.0832,0.0576,0.0192,0.0128,0.0064,0.0448,0.0128,0,0.0064,1.6057,0.0064,0,0.0064,0.0064,0.1279,1.6441,0,0.3199,0.2239,2.738,0.0064,0.0192,0.1279,0.0192,0,0.1855,NA,0.0384,0.2303,0,0.032,0.0576,1.2346,NA,0.0064,0.1088,0.0192,0.0576,0.0192,0.339,0,0.0064,0.8508,0.032,0.0448,0.1343,0.0128,0,1.804,0,0,3.9854,0,0,0.0512,0.0064,0.096,0,0.0128,0,0.2303,0,0.0192,0.0256,0.0064,0,0.0256,0.2431,0.0064,0.0384,0.0192,0.0704,0.2047,0,0.9916,0.1919,0.371,0.3838,0.0448,0.7421,0.7996,0.0704,0.0256,0.1215,1.1003,0.032,0.1791,0.0064,0.032,0,0,0.5885,0.0064,0.0064,0.0832,0.0448,0.1599,0,0.0128,0.0192,0.0064,0.0064,0.0192,0.0192,0.0512,0,0.1215,0.0768,0.0128,0.0384,0,0.6717,0,0.0064,0.0448,0,0.0832,0,0.0064,0,0.0256,0.0064,0,0.0384,0.0192,0.3774,0.0064,0.0256,0.0128,0.2687,0.032,0.2687,0.1215,0.2303,0,0.3135,0.0128,0.2175,0.0128,0.0704,0.2559,0,0.0064,0.2303,0.0704,0.1599,0.0896,0.0064,0.1663,0.0128,0.0384,0.1343,1.8552,0.2111,0.1151,0.064,0.0064,0.0896,0,0,0,0.0064,0.0128,0,0,0.0512,0.0128,0.1407,0.0064,0.0256,0.0256,0.435,NA,0,0.4094,0,0.0064,0,0.0768,0,0,0,0,0.0128,0.3263,0.2815,0,0.1088,0.0576,0.1024,1.8232,0.0384,61.9754,NA,0,0.0896,0,0.1471,0,0,0.0832,0.0576,0.0064,0.096,0.371,0.0192,0.032
"newspaper",2004,0.0021,0.5468,0.0389,0.0011,0.0747,0.2965,0.1777,0.0095,0.0032,0.0358,0.0011,0.0042,7.8038,0.0589,0.0158,0.0032,0.1157,0.0242,0.0179,0.3029,0.0231,0.0862,0.0505,0.0557,0,0.0147,0.0021,0.0168,0.0263,0.6331,0.0074,0.0095,0.0137,0.0095,0.0557,2.6573,0,0.1893,0.1693,1.7288,0.021,0.0452,0.0368,0.0053,0.0042,0.1209,NA,0.0231,0.143,0.0084,0.0189,0.0389,0.7887,NA,0.0011,0.0568,0.0168,0.0242,0.0368,0.2829,0,0,0.6362,0.0189,0.0305,0.062,0.0168,0.0011,1.1462,0.0021,0.0011,6.3305,0.0042,0.0011,0.0305,0.0179,0.04,0.0042,0.0032,0.0011,0.163,0,0.0084,0.0074,0.0021,0.0032,0.021,0.285,0.0063,0.0231,0.0168,0.0536,0.2745,0.0011,24.4356,0.1672,0.3975,0.2755,0.0179,0.4259,0.6141,0.0547,0.0021,0.0557,0.8087,0.0252,0.0578,0.0021,0.0452,0.0011,0.0021,0.5374,0.0179,0.0053,0.0484,0.0137,0.0831,0.0011,0.0116,0.2419,0.0042,0.0126,0.0053,0.0158,0.0126,0.0011,0.0473,0.0389,0.0074,0.0179,0.0032,0.3186,0.0084,0.0105,0.0284,0.0095,0.0694,0.0042,0.0126,0.0011,0.0105,0.0042,0,0.0158,0.0074,0.4858,0.0063,0.0021,0.0063,0.164,0.0305,0.1851,0.0652,0.2124,0.0074,0.714,0.0158,1.0968,0.0116,0.0421,0.2345,0,0.0684,0.1104,0.0305,0.1661,0.1125,0.0042,0.101,0.0042,0.0473,0.0337,1.1641,0.0715,0.0957,0.021,0.0105,0.163,0,0.0011,0.0011,0.0389,0.0063,0.0126,0.0021,0.0273,0.0168,0.061,0.0011,0.0137,0.0116,0.1441,NA,0.0032,0.3249,0,0.0053,0,0.1483,0.0095,0.0074,0.0042,0.0095,0.0074,0.122,0.1861,0.0011,0.062,0.02,0.0273,1.3187,0.0126,35.8431,NA,0.0053,0.0904,0.0011,0.1031,0.0011,0,0.0568,0.0032,0.0053,0.0736,0.4974,0.0074,0.0379
"online",4748,0.0133,0.3166,0.0266,0,0.0639,0.141,0.1889,0.008,0.0053,0.0372,0.0027,0.0053,1.3383,0.1224,0.0106,0,0.157,0.0239,0.0027,0.0878,0.0585,0.0372,0.0319,0.0213,0,0.0293,0.0239,0.0133,0.0399,0.8248,0.008,0.0053,0.0027,0.0239,0.0239,1.9796,0.0133,0.1171,0.1756,0.8541,0.0133,0.0213,0.0452,0.0053,0,0.2501,NA,0.0266,0.2208,0.0053,0.0133,0.0585,0.7902,NA,0.0027,0.0772,0.0479,0.016,0.0399,0.3645,0.0053,0.0027,0.5534,0.0027,0.0266,0.0399,0.0053,0,1.1893,0.0053,0,5.6301,0.0053,0.008,0.0239,0.0266,0.0745,0.0027,0,0,0.1463,0.0027,0.0239,0.0293,0.0027,0.0027,0.0399,0.149,0.0266,0.0239,0.0399,0.0506,0.1224,0,0.5188,1.7614,0.3379,0.29,0.0559,0.9286,0.7264,0.0772,0.008,0.0559,0.6412,0.0106,0.3938,0.0027,0.008,0.0053,0,0.2395,0.0053,0.0027,0.0639,0.0053,0.2687,0.0027,0.0053,0.0213,0.0027,0.0106,0.0133,0.0186,0.008,0.008,0.0506,0.0293,0.008,0.016,0.0027,0.5242,0.008,0.0106,0.0213,0.008,0.0372,0,0.0053,0.016,0.0106,0.0133,0.0027,0.0186,0.008,0.3033,0.0106,0,0.0053,0.1144,0.0106,0.2368,0.0745,0.0639,0,0.3273,0.008,0.1596,0.0293,0.0878,0.3219,0.0053,0.0106,0.1623,0.0692,0.1304,0.0931,0.0053,0.0798,0.0027,0.0186,0.0585,1.2958,0.0452,0.1171,0.0186,0.0133,0.0346,0,0.0027,0,0.0239,0.0106,0.0106,0,0.008,0.0266,0.0506,0,0.0027,0.0106,0.2315,NA,0.0027,0.2767,0,0.0027,0,0.1224,0,0.008,0.0027,0.0053,0,0.2075,0.1862,0.0027,0.0372,0.0745,0.0319,1.0723,0.016,68.5345,NA,0.0027,0.1783,0,0.1144,0.008,0.0027,0.0692,0,0.0106,0.0639,0.2767,0.0053,0.0106
"abc.net.au",3297,0,0.8048,0,0,0.1006,0.5366,0.2012,0,0,0.1677,0,0.0335,56.0027,0,0,0,0.2012,0,0,0.2012,0.0671,0.2012,0.0671,0,0,0,0,0,0,0.503,0,0,0,0,0.0335,0.6707,0.0335,0.0335,0.2347,1.7103,0,0.0335,0,0,0,0,NA,0,0.0671,0,0,0,0.8384,NA,0,0.1006,0,0,0,0.6036,0,0,0.3689,0,0.0335,0.0335,0.1341,0,0.2683,0,0,4.5942,0,0,0.0671,0,0.0671,0,0,0,0.1677,0,0,0,0,0,0.0335,0.9725,0,0,0,0,0.8719,0,0.7042,0.0671,0.0335,0.2347,0,0.2683,0.8719,0.0335,0,0.0335,2.1127,0.0335,0.1677,0,0.503,0,0,0.7042,0,0,0.0335,0,0.0671,0,0,0.3353,0,0,0,0.0335,0,0,0,0.1341,0,0,0,0.1006,0,0,0,0,0.1341,0,0,0,0,0,0,0,0,0.939,0,0,0,0.2683,0,0.1677,0.0671,0.1006,0.1341,2.0791,0.0335,0.3353,0,0.0335,0.2347,0,0.8719,0.0335,0,0.1677,0.1341,0,0.1677,0,0.1341,0.1006,0.7378,0.0671,0.1006,0.0335,0,0.1677,0,0,0,0.503,0,0,0,0.0335,0,0.1341,0,0,0.0335,0.0671,NA,0,0.3353,0,0,0.0335,0.1677,0,0,0.0335,0.0335,0,0.0671,0.2347,0,0.0671,0,0.0335,1.1066,0.0335,10.6975,NA,0,0.0335,0,0.0335,0,0,0.2347,0,0.0671,0.1006,1.1402,0,0
"abcnews.go.com",3370,0,0.8403,0.0808,0.0162,0.0162,0.2424,0.3394,0,0,0.0485,0,0.0162,1.1151,0.1293,0,0,0.0808,0.0162,0.0162,0.0485,0.0323,0.2747,0.0646,0.0646,0,0.0323,0,0.0323,0.0646,1.1474,0,0,0,0.0162,0.2909,1.5837,0,0.2586,0.4525,1.7615,0.0485,0.0646,0.1131,0,0,0.5333,NA,0.097,0.4686,0,0.0485,0.0646,1.1959,NA,0,0.0162,0.097,0.097,0.0323,0.7111,0,0,0.6141,0.0323,0.0808,0.1293,0.0162,0,0.9696,0.0323,0.0323,2.3917,0,0,0.0162,0,0.1131,0,0.0323,0,0.4686,0,0.0162,0.0323,0.0162,0,0.0808,0.1293,0.0323,0.0808,0.1131,0.1293,0.2101,0,0.7111,0.097,0.7434,0.808,0.0162,0.9858,0.7757,0.1131,0,0.1778,1.0827,0.1131,0.2262,0,0.1131,0,0.0162,0.8403,0.097,0.0162,0.307,0.0485,0.3717,0.0162,0.0162,0.1293,0,0.0323,0.0162,0.0646,0.0162,0.0162,0.0485,0.0323,0.0323,0.0162,0,1.0827,0,0.0646,0.1454,0.0162,0.4363,0,0.0162,0,0.0162,0.0323,0,0,0,0.5818,0,0,0.0323,0.4525,0.0808,0.501,0.0808,0.2909,0,0.2747,0.0162,0.4363,0.0323,0.1616,0.4686,0,0.0323,0.2586,0.307,0.2262,0.0646,0.0162,0.2586,0,0.0485,0.0808,2.1493,0.1293,0.1616,0.0646,0.0485,0.0485,0,0,0,0.0162,0.0323,0.0323,0.0162,0.0808,0.097,0.2262,0,0.0323,0.0162,0.1616,NA,0.0323,1.0181,0.0162,0.0162,0.0162,0.3717,0,0,0,0,0.0485,0.1454,0.2586,0,0.0485,0.0162,0.097,2.2301,0.0485,57.7085,NA,0,0.2262,0,0.3232,0,0,0.0485,0,0,0.3232,0.5818,0.0323,0.0323
"adweek.com",3901,0,0,0,0,0,0,0.7194,0,0,0.3597,0,0,0.7194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9568,0,0,0,0,0,2.8777,0,0.3597,0,0.7194,0,0,0,0,0,0.3597,NA,0,0.3597,0,0,0,1.0791,NA,0,0,0,0,0,0.3597,0,0,2.8777,0,0,0,0,0,4.6763,0,0,6.8345,0,0,0,0,0,0,0,0,0.3597,0,0,0.3597,0,0,0,0.3597,0,0,0,0,0,0,0,0,0,0,0,0.3597,0.3597,0,0,0.3597,1.7986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3597,0,0,0,0,0,0,0,0,0,0.3597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3597,0,0,0,0.3597,0,0,0,0,0.7194,0,0,0.3597,0,0,0.3597,0,0,0,0,0,2.1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4388,NA,0,0.3597,0,0,0,0.3597,0,0,0,0,0,0,0.7194,0,0,0,0,0,0,61.5108,NA,0,0,0,0,0,0,0.3597,0,0,0,0,0,0
"alarabiya.net",525,0,1.1299,0.1883,0,0,6.403,0,0,0,0,0,0,0.7533,0,0,0,0,0,0,0.1883,0,0.3766,0,0,0,0,0,0.1883,0,1.6949,0,0.1883,0,0,0,0.1883,0,0.565,0.1883,1.5066,0,0,0,0,0,0,NA,0,0.1883,0,0,0,0.7533,NA,0,0,0,0.9416,0,8.2863,0,0,1.6949,0.1883,0.565,0.1883,0,0,1.5066,0,0,5.0847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3766,0,0.565,0,4.7081,3.3898,0,3.2015,0.3766,0,0,0.3766,0.3766,0,0,0,0,0,0,0.1883,0.7533,0,2.2599,0,2.2599,0,0,0,0,0,0,0,0,0,1.1299,0,0,0,0,0.3766,0,0,0,0,0.3766,0,0,0,0.1883,0,0,0,0,0.565,0,0,0,0.1883,0,0,0,0,0,0,0.565,1.3183,0,0,0,0,0,0,0,0.3766,0.3766,0,1.1299,0,1.6949,0,2.6365,0,6.403,0.1883,0,0.1883,0,0,0,0,0,0,0,0,0,0.1883,0,0,0,0,NA,0,8.0979,0,0,0,0,0,0,0,0,0,1.3183,3.5782,0,0,0.1883,0,2.6365,0,13.1827,NA,0,0,0,0,0,0,0,0,0,1.1299,0.1883,0,0
