"","HHI.Index","ABW","AFG","AGO","AIA","ALB","ARE","ARG","ARM","ASM","ATA","ATF","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLM","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CCK","CHE","CHL","CHN","CIV","CMR","COD","COG","COK","COL","COM","CRI","CUB","CYM","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FLK","FRA","FSM","GAB","GBR","GEO","GGY","GHA","GIB","GIN","GMB","GNB","GNQ","GRC","GRD","GRL","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IMN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JEY","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LIE","LKA","LSO","LTU","LUX","LVA","MAC","MAF","MAR","MCO","MDA","MDG","MDV","MEX","MHL","MKD","MLI","MLT","MMR","MNE","MNG","MNP","MOZ","MRT","MTQ","MUS","MWI","MYS","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NRU","NZL","OMN","PAK","PAN","PER","PHL","PLW","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SGS","SHN","SJM","SLB","SLE","SLV","SMR","SOM","SRB","SSD","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCA","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TUV","TWN","TZA","UGA","UKR","URY","USA","UVK","UZB","VAT","VCT","VEN","VGB","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"alternet.org",7055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5376,0,0,0,0,0,2.6882,0,0,0,1.6129,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0.5376,0,0,0,0,0,0,0,0,0.5376,0,0,2.1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5376,0,0,0.5376,0,1.0753,0,0,0.5376,0.5376,0,0,0.5376,0,0,0,0,0,0,0,0,0,0.5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5376,0,0,0,0,0.5376,0,0,0,0,0,0,0,0,0,0,0,0.5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.5376,0,0,0,0,0,0,0,83.871,NA,0,0,0,0.5376,0,0,0.5376,0,0,0,0,0,0
"bbc.co.uk",3294,0,0.8572,0.0153,0,0,0.1531,0.1378,0,0,0.0306,0,0,1.9746,0.0612,0.0306,0.0306,0.2449,0,0.0306,0.0765,0.0306,0.199,0.0306,0.0765,0,0.0306,0,0.0306,0.0612,0.9643,0.0153,0.0306,0,0,0.1837,0.9643,0,0.0612,0.2602,1.3623,0,0.0612,0.0918,0,0,0.1684,NA,0.0459,0.1225,0,0.0459,0.0459,0.8266,NA,0,0.0612,0,0.0306,0.0306,0.2602,0,0,0.8419,0.0306,0.0459,0.0765,0.0459,0.0153,1.4388,0,0.0153,55.9008,0,0.0459,0,0.0612,0.1378,0.0153,0.0153,0.0306,0.199,0,0.0153,0.0306,0.0459,0,0.0153,0.2143,0,0,0.0153,0.0459,0.2143,0.0153,1.2705,1.9899,0.3827,0.2908,0.0153,0.5664,0.6429,0.1225,0.0459,0.0612,0.6429,0.0153,0.3521,0.0153,0.0306,0,0,0.5357,0.0459,0,0.0918,0.0306,0.1684,0,0.0153,0.1684,0,0.0153,0.0153,0.0306,0,0,0.0612,0.0765,0,0.0153,0,0.4286,0,0.0153,0.0459,0.0612,0.1378,0,0,0,0.0153,0,0,0.0306,0,0.2908,0,0,0.0459,0.4898,0.0306,0.3368,0.1531,0.1071,0,0.5051,0,0.5357,0.0153,0.1071,0.1071,0,0.0153,0.1225,0,0.0918,0.1378,0,0.0765,0,0.0459,0.0612,1.148,0.199,0.1225,0.0918,0.0306,0.1071,0,0,0,0.0918,0,0.0153,0,0.1071,0,0.2449,0,0,0.0153,0.1531,NA,0,0.7653,0,0.0306,0,0.0765,0,0.0306,0,0,0.0153,0.1225,0.2908,0,0.1225,0,0.0612,1.7144,0.0153,11.9241,NA,0,0.0612,0.0153,0.2602,0,0,0.0306,0,0,0.1225,0.9031,0.0459,0.0765
"bdnews24.com",1003,0,5.8824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7647,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,5.8824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,5.8824,0,0,0,0,0,0,0,0,0,0,0,17.6471,0,11.7647,NA,0,5.8824,0,0,0,0,0,0,0,0,0,0,0
"bloomberg.com",4209,0,0,0,0,0,0,0.2717,0,0,0,0,0,0.2717,0,0.2717,0,0,0,0,0.5435,0,0,0,0,0,0.2717,0.2717,0,0,2.1739,0,0,0,0,0,0.5435,0,0.2717,0,9.7826,0,0,0.2717,0,0,0,NA,0,0,0,0,0,0.5435,NA,0,0.2717,0,0,0.5435,0.2717,0,0,0.5435,0,0,0,0,0,1.087,0,0,2.7174,0,0,0,0,0,0,0,0,0.2717,0,0,0,0,0,0,0.2717,0,0,0,0,0,0,1.9022,0.2717,0.2717,0,0,0,0.5435,0,0,0,1.087,0,0,0,0,0,0,0.2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2717,0,0,0,0,0.2717,0,0,0,0,0,0,0,0,0.2717,0,0,0,0,0,0.2717,0.5435,0.5435,0,0.2717,0.2717,0,0,0,0,0,0,0.2717,0.2717,0,0.2717,0,0,0,0,0,2.9891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.2717,0.5435,0,0,0.2717,0.2717,1.6304,0,63.8587,NA,0,0,0,0.8152,0,0,0,0,0,0,0,0,0
"boingboing.net",3273,0,0,0,0,0,0.6826,0.6826,0,0,0.3413,0,0,1.3652,0,0,0,0,0,0,0,0,0,0,0,0,0.3413,0,0,0,1.3652,0,0,0,0,0,4.0956,0,0,0,1.0239,0,0,0,0,0,0,NA,0,0,0.3413,0.3413,0,2.3891,NA,0,0.3413,0,0,0,0,0,0,0,0,0,0.3413,0,0,1.7065,0,0,11.6041,0,0,0,0,0.3413,0,0,0,0,0,0.6826,0.3413,0,0,0,0,0,0,0,0.3413,1.0239,0,0,0.3413,1.0239,0.3413,0.3413,0,0,0,0,0,1.3652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3413,0.3413,0,0,0,0,0,0,0,0.3413,0.3413,0,0,0,0,0,0,0,0,0,0,0,0,0.3413,0,0,0,0.3413,0,0.3413,0.3413,0.6826,0,0.6826,0,0.6826,0,0,0,0.3413,0,0.6826,0,0.3413,0,0,0,0,0,0,1.0239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6826,NA,0,0.6826,0,0,0,0,0,0,0,0,0,0.6826,0.3413,0,0.3413,0,0,1.0239,0,55.6314,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.3413
"breitbart.com",4377,0,0.5919,0,0,0.0395,0.1184,0.0789,0,0,0,0,0,0.9471,0.0789,0,0,0.2368,0,0,0.0789,0,0.0395,0,0.0395,0,0.0789,0,0,0.1184,0.3946,0,0.0395,0,0,0,0.5525,0,0.0789,0.1184,1.026,0,0.0789,0,0,0,0.1579,NA,0,0.2368,0,0,0.1973,0.5919,NA,0,0.0395,0,0,0.0395,0.3157,0,0,0.1184,0,0,0.0395,0,0,0.7498,0,0,8.5241,0,0,0,0.0395,0,0,0,0,0.0395,0,0,0,0,0,0.0789,0.0395,0,0.0395,0,0.0395,0.0395,0,0.2368,0.3157,0.6709,0.513,0,2.4073,0.4736,0,0,0.1184,0.4341,0,0.0395,0,0,0,0,0.1973,0,0,0.0789,0,1.026,0,0,0,0,0.0789,0,0.0789,0,0,0,0,0.0395,0,0,0.5525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7103,0,0,0.0395,0.2368,0,0.1973,0.0789,0,0,0.0395,0,0.1973,0,0.0395,0.1184,0,0,0.2762,0.0395,0.2762,0,0,0.2368,0,0,0,2.8808,0.0789,0.1184,0,0,0,0,0,0,0.0395,0,0,0,0.0395,0,0,0,0,0,0.0789,NA,0,0.7893,0,0,0,0.0789,0,0,0,0,0,0.0395,0.1579,0,0.0395,0,0.1184,3.236,0,65.3512,NA,0,0.2762,0,0.6314,0,0,0.0789,0,0,0.0789,0.0789,0,0
"businessweek.com",4451,0,0,0,0,0,0,0.2967,0,0,0,0,0,0.2967,0,0.2967,0,0,0,0,0.5935,0,0,0,0,0,0.2967,0.2967,0,0,1.4837,0,0,0,0,0,0.5935,0,0.2967,0,8.9021,0,0,0.2967,0,0,0,NA,0,0,0,0,0,0.5935,NA,0,0.2967,0,0,0.2967,0.2967,0,0,0.2967,0,0,0,0,0,1.1869,0,0,2.3739,0,0,0,0,0,0,0,0,0.2967,0,0,0,0,0,0,0.2967,0,0,0,0,0,0,2.0772,0.2967,0,0,0,0,0.5935,0,0,0,1.1869,0,0,0,0,0,0,0.2967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2967,0,0,0,0,0.2967,0,0,0,0,0,0,0,0,0.2967,0,0,0,0,0,0.2967,0.5935,0.2967,0,0.2967,0.2967,0,0,0,0,0,0,0.2967,0.2967,0,0.2967,0,0,0,0,0,2.9674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.2967,0.2967,0,0,0.2967,0,1.7804,0,65.8754,NA,0,0,0,0.8902,0,0,0,0,0,0,0,0,0
"cbc.ca",4808,0,0.3494,0.0349,0,0.0874,0.0699,0.0699,0,0,0.0524,0,0.0175,1.7121,0.0349,0,0.0175,0.0175,0,0,0.0874,0,0.0175,0.0699,0,0,0.0524,0.0175,0,0.0175,0.4542,0.0699,0,0,0,0.0699,67.1209,0.0699,0.1398,0.1398,0.6289,0,0.0175,0.0175,0,0,0.1048,NA,0,0.0524,0,0,0.0175,0.2271,NA,0,0.0175,0.0349,0,0.0349,0.1048,0.0175,0.0175,0.3145,0,0.0175,0.0175,0,0,0.6988,0,0.0175,1.9217,0,0.0349,0,0,0.1398,0,0,0,0,0,0,0.0349,0,0,0,0.2621,0,0.0175,0.1223,0,0.0349,0,0.2096,0.0524,0.0524,0.0524,0.1048,0.0699,0.3843,0.1572,0,0.0175,0.2446,0,0.1223,0,0.0175,0,0,0.297,0,0,0.0175,0.0349,0,0,0.0175,0.0524,0,0,0,0,0,0,0,0.0175,0.0175,0,0,0.1223,0,0,0.0175,0,0,0,0,0,0,0,0,0.0175,0,0.1398,0,0,0,0.1572,0.0175,0.0524,0.2446,0.1398,0.0175,0.2621,0,0.1572,0.0524,0.0874,0.4018,0,0.0524,0,0,0.1048,0.0524,0,0.0349,0,0,0.0349,0.6115,0.1572,0.1747,0.0175,0,0,0,0,0,0.0349,0,0.0175,0,0,0,0.0524,0,0.0175,0,0.0349,NA,0,0.2096,0,0,0,0.0349,0,0,0.0175,0,0,0,0.0874,0.0175,0,0.0349,0.0524,1.2753,0,17.086,NA,0,0.0175,0,0.0524,0,0,0.0175,0,0,0.0349,0.0874,0.0175,0.0175
"cbsnews.com",4985,0,0.7278,0.097,0,0,0.1456,0,0,0,0.0485,0,0,1.9408,0.0485,0,0,0.097,0,0.0485,0.1456,0,0,0.0485,0,0,0,0,0,0,0.9219,0,0,0,0,0.0485,0.9704,0,0.0485,0.4852,1.2615,0,0.097,0.0485,0,0,0.3396,NA,0.0485,0.2426,0,0,0.1456,0.5822,NA,0,0,0.0485,0,0,0.4367,0,0,0.2911,0,0.0485,0,0.0485,0,0.8734,0,0,3.2508,0,0.0485,0,0,0.1456,0,0,0,0.0485,0,0,0.0485,0.0485,0,0.0485,0.097,0,0,0.0485,0,0.3396,0,0.2911,0.097,0.2426,0.4367,0,0.3882,0.7278,0,0,0,1.116,0,0.0485,0,0,0,0,1.116,0,0,0.097,0.0485,0.1941,0,0,0.0485,0,0,0,0,0,0,0,0,0,0,0,0.7278,0,0,0.0485,0,0.0485,0,0,0,0,0,0,0,0,0.8734,0,0,0.0485,0.1941,0.0485,0.1941,0.097,0.2426,0,0.2911,0,0.3882,0,0.0485,0.3396,0,0.0485,0.097,0.0485,0.1456,0.0485,0,0,0,0,0.0485,1.8923,0.097,0.097,0,0,0,0,0,0,0.097,0,0.0485,0,0,0,0.0485,0,0,0,0.097,NA,0,0.5822,0,0,0,0.0485,0,0,0,0,0,0.1941,0.0485,0,0,0.097,0,2.2319,0,70.3542,NA,0,0.2911,0,0.0485,0,0,0,0,0,0.0485,0.3396,0,0
"chicagotribune.com",6782,0,0.5335,0.0381,0,0.0762,0.0762,0.0381,0,0,0,0,0,0.8384,0.0762,0,0,0.0762,0,0,0.0762,0.0381,0,0.0381,0.0381,0,0,0,0.0762,0.0381,0.6098,0,0,0,0,0,1.4482,0,0.1524,0.1905,0.686,0,0,0.1143,0,0,0.2668,NA,0,0.2287,0.1524,0,0,1.0671,NA,0,0,0,0.0381,0.0381,0.1524,0,0,0.2287,0,0,0.0381,0,0,0.686,0.0381,0,1.5244,0,0,0,0,0.0381,0,0,0,0.0381,0,0.0381,0,0,0,0,0,0,0.0762,0,0.0381,0.1143,0,0.2668,0.0762,0.2287,0.0762,0,0.2287,0.343,0,0,0.0762,0.4573,0,0.0381,0,0,0,0,0.3049,0,0,0,0,0.0381,0,0,0,0,0,0,0,0,0,0.0381,0,0,0,0,0.4573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9146,0,0,0,0.1143,0.0381,0.0381,0,0.1143,0,0.1905,0,0.0381,0,0.0381,0.1524,0,0,0.0381,0,0.1143,0.0381,0,0.0762,0,0,0.0762,0.6479,0,0.1905,0,0,0,0,0,0,0.0381,0,0,0,0,0,0,0,0.0381,0,0.0381,NA,0,0.1905,0,0,0,0.0381,0,0,0,0,0,0,0.2287,0,0,0.0381,0,0.9909,0,82.279,NA,0,0.0381,0,0.0762,0,0,0,0,0,0.0381,0.4573,0,0
"chron.com",7343,0,0.1287,0,0,0,0.3218,0.3218,0,0,0.1287,0,0,0.3861,0,0,0,0.1287,0,0,0,0.0644,0,0,0,0,0,0,0,0,0.5148,0,0,0,0,0,1.1583,0,0.3861,0,0.5148,0,0,0,0,0,0.0644,NA,0,0.0644,0.0644,0,0,0.2574,NA,0,0,0.1287,0,0.0644,0.2574,0,0,0.6435,0,0.1287,0.1287,0,0,0.9653,0,0,1.3514,0,0,0.0644,0.0644,0.1287,0,0,0,0.0644,0,0,0,0,0,0.1287,0,0,0,0,0,0.1287,0,0.1931,0.0644,0,0.1287,0,0.0644,0.3861,0.0644,0,0.1931,0.1287,0,0,0,0,0,0,0.1931,0,0,0,0.0644,0,0,0,0.0644,0,0,0,0,0,0,0,0,0,0,0,0.6435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644,0,0.3218,0.0644,0,0,0.0644,0,0.0644,0,0.0644,0.1931,0,0,0,0,0,0.0644,0,0.1287,0,0,0,0.4505,0.0644,0.3218,0,0,0.0644,0,0,0,0,0,0,0,0,0.0644,0,0,0,0,0.0644,NA,0,0.1287,0,0,0,0.0644,0,0,0,0,0,0.2574,0.1931,0,0,0.0644,0.1287,0.1931,0,85.6499,NA,0,0.0644,0,0.0644,0,0,0,0,0,0.0644,0,0,0.1287
"cnbc.com",2954,0.0543,0.1087,0,0,0,0.163,0.0543,0,0,0,0,0,1.6304,0,0,0,0.163,0,0,0.1087,0.0543,0,0,0,0,0,0,0,0,2.2826,0,0,0,0,0,0.5435,0,0.163,0.2717,9.0761,0,0,0,0,0,0.0543,NA,0,0.163,0,0.0543,0.1087,0.8152,NA,0,0.1087,0,0.0543,0,0,0,0,0.7609,0,0,0.163,0,0,1.8478,0,0,5.2174,0,0,0,0.0543,0,0,0,0,0.7609,0,0,0,0,0,0.1087,0.4348,0,0.0543,0,0.1087,0.3804,0,1.7935,0.163,0.2174,0.1087,0,0.2174,0.7065,0,0,0,3.0978,0,0,0,0,0,0,0.6522,0,0,0,0,0.2174,0,0,0.0543,0,0,0.0543,0,0,0,0,0,0,0,0,0.3261,0,0,0,0.0543,0,0,0,0,0,0,0,0,0,0.7609,0,0,0,0.1087,0,0.2717,0.1087,0.0543,0,0.2717,0,0,0,0.0543,0.163,0,0,0,0.2174,0.0543,0.2174,0,0,0,0,0,3.6957,0,0,0,0,0.8696,0,0,0,0,0,0,0,0,0,0,0,0.0543,0.0543,0.163,NA,0,0.1087,0,0,0,0.0543,0,0,0,0,0,0.3804,0.4348,0,0.163,0,0,5.2174,0,52.663,NA,0,0,0,0.0543,0,0,0.0543,0,0,0,0.163,0,0
"cnn.com.money.cnn.com.ireport.cnn.com",3582,0,1.1039,0.0381,0,0.0381,0.3807,0.3045,0,0,0.0761,0,0,1.9033,0,0,0,0,0,0,0.0761,0,0.1142,0,0.0381,0,0.0381,0,0,0.0381,0.9897,0,0,0,0.0381,0.1903,0.9136,0,0.2665,0.3807,2.0556,0,0.0381,0.1523,0,0,0.1142,NA,0,0.1523,0,0.0761,0.1142,0.9517,NA,0,0.1142,0.0761,0,0.0381,0.571,0,0,0.7994,0,0.0761,0,0,0,0.9897,0,0,3.9589,0,0.0381,0.0761,0.0761,0.3045,0,0,0,0.2284,0,0.0381,0,0,0,0,0.3426,0.0381,0,0.0381,0,0.3045,0,0.8755,0,0.3426,0.4187,0.1523,0.8375,1.0659,0.0761,0,0.0381,0.9517,0,0.1903,0,0,0,0,1.713,0,0,0.1903,0.0761,0.1523,0,0,0.0761,0,0,0,0,0,0,0,0.1903,0.0381,0,0,0.6852,0,0,0,0.0381,0.0381,0,0,0,0,0,0,0,0,2.0175,0,0,0,0.3426,0.0761,0.1523,0.0381,0.1142,0,0.571,0,0.571,0,0.0761,0.3426,0,0.0381,0.0381,0,0.3045,0.1523,0,0.1903,0,0.1523,0.0381,1.751,0.6091,0.1142,0.0761,0,0.0761,0.0381,0,0,0.0381,0,0,0,0.1142,0.0381,0,0,0,0,0.2665,NA,0.0381,0.6471,0,0,0.0381,0.3045,0,0,0,0.0381,0,0.3426,0.1523,0,0.1142,0.0381,0,1.751,0,59.4214,NA,0,0.1523,0,0.571,0,0,0.3045,0,0,0.4187,0.4949,0,0
"commondreams.org",5147,0.1706,1.0239,0,0,0,0,0.1706,0,0,0,0,0,0.6826,0.1706,0,0,0.1706,0,0,0.6826,0,0,0,0,0,0,0,0,0.1706,0.5119,0,0,0,0,0.1706,2.0478,0,0,0.1706,0.8532,0,0,0,0,0,0.3413,NA,0,0.8532,0,0.1706,0,1.1945,NA,0,0.1706,0,0,0,1.0239,0,0,0.3413,0,0,0,0,0,0.8532,0,0,1.7065,0,0,0,0,0,0,0,0,0.8532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3413,0,0.3413,1.0239,0,1.5358,0,0.1706,0,0,0.5119,0,0.1706,0,0,0,0,0.1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1706,0,0,0.3413,0,0,0.3413,0,0.1706,0,0.1706,0,0,0,0.1706,0,0.1706,0,0,0.5119,0,0,0.1706,0.8532,0,0,0,0,0,0,0,0,0,0.1706,0,0,0,0,0.1706,0,0,0.1706,0.1706,NA,0,0.1706,0,0,0,0,0,0,0,0,0,0,0.1706,0,0.1706,0,0,3.413,0,71.5017,NA,0,0,0,0.3413,0,0,0,0,0,1.3652,0.3413,0,0
"dailycurrant.com",5833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,8.3333,0,0,0,0,8.3333,0,75,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"digitalspy.co.uk",2610,0,0.1852,0.0926,0,0,0.3704,0,0,0,0,0,0,3.4259,0,0,0,0.2778,0,0,0,0.0926,0,0,0,0,0,0,0.0926,0,2.1296,0,0,0,0,0.0926,1.3889,0,0.0926,0,0.8333,0,0,0,0,0,0.0926,NA,0,0.0926,0,0,0.0926,0.463,NA,0,0.1852,0.0926,0,0,0,0,0,0.2778,0,0,0,0,0,2.5,0,0,36.0185,0,0,0,0,0,0,0,0,0.1852,0,0,0,0,0,0,0.2778,0,0.0926,0,0.0926,0.2778,0,3.1481,0.463,0.2778,0.2778,0,0.463,0.9259,0.3704,0,0.2778,1.3889,0,0.0926,0,0,0,0,0.2778,0,0,0.0926,0,0,0,0,0,0,0,0,0,0,0,0.0926,0,0,0,0,0.0926,0,0.0926,0,0.0926,0,0,0,0,0,0.1852,0,0.0926,0,0.2778,0.0926,0,0,0,0,0.463,0,0,0,1.0185,0,0.1852,0,0,0.0926,0,0,0.2778,0,0,0.0926,0,0,0,0,0.0926,0.7407,0,0.0926,0.0926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3704,NA,0,0.0926,0,0,0,0.463,0,0.1852,0,0.1852,0,0.1852,0.2778,0,0,0.1852,0,0.0926,0,35.6481,NA,0,0,0,0,0,0,0,0,0,0,0.2778,0,0
"dnaindia.com",4258,0,0.7204,0.0294,0,0.0294,0.5881,0.0441,0,0,0,0,0,1.3672,0.0441,0.0147,0.0147,0.0294,0.0147,0.0294,0.5293,0.0147,0.0735,0.1764,0.2058,0,0.0147,0,0,0.0147,0.6763,0.0147,0,0.0294,0,0,0.3381,0,0.2058,0.2205,0.9262,0.1323,0.0441,0.0147,0,0.0294,0.0441,NA,0.0441,0.0441,0,0.0147,0.0294,0.5293,NA,0,0.0441,0,0,0.0294,0.0588,0,0,0.5146,0.0588,0.0441,0.0735,0.0147,0,0.7498,0,0,4.2488,0,0,0,0,0,0.0147,0,0,0.0735,0,0,0,0,0,0.0147,0.1911,0.0147,0.0441,0,0.0588,0.2205,0,64.3634,0.0588,0.5146,0.2352,0,0.0735,0.5146,0.0147,0,0.0294,0.4116,0.0147,0.0441,0,0,0,0,0.294,0.0294,0,0.0441,0,0.0294,0,0.0147,0.4852,0,0.0147,0,0.0147,0,0,0.0588,0.0147,0,0.0147,0.0147,0.1617,0.0147,0.0147,0.0441,0,0.0294,0.0147,0,0,0.0147,0,0,0.0147,0,0.7498,0,0,0,0.1029,0.0441,0.1176,0.0294,0.1176,0,0.544,0.0147,2.8668,0.0294,0.0588,0.1617,0,0,0.0588,0,0.0882,0.147,0,0.0294,0.0147,0.0588,0.0147,1.0732,0.0294,0.0441,0.0147,0,0.2205,0,0,0,0.0588,0,0.0294,0,0.0294,0.0294,0.0294,0,0.0147,0.0147,0.1323,NA,0,0.3087,0,0,0,0.1911,0.0147,0,0,0,0,0.0441,0.1029,0,0.0147,0.0147,0.0441,1.2349,0.0147,8.8356,NA,0,0.0441,0,0.0588,0,0,0.0294,0,0,0.1176,0.5293,0,0.0588
"drudgereport.com",5201,0,0.4437,0,0,0,0.0887,0.1775,0,0,0,0,0,0.8873,0.0887,0,0,0.1775,0,0,0,0,0,0.0887,0,0,0,0,0,0,0.7098,0,0,0,0.0887,0,0.7098,0,0,0.4437,1.331,0,0,0.0887,0,0,0,NA,0,0.3549,0,0,0.0887,0.8873,NA,0,0.0887,0,0,0,0.4437,0,0,0.3549,0,0,0.0887,0,0,0.6211,0,0,4.4366,0,0,0,0,0,0,0,0,0.1775,0,0,0,0,0,0,0.1775,0,0,0.0887,0,0.0887,0,0.1775,0.0887,0.3549,0.8873,0,1.4197,0.5324,0.1775,0,0,0.7986,0,0.0887,0,0,0,0,0.1775,0,0,0,0,0.3549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2662,0,0,0,0,0.0887,0,0,0,0,0,0,0,0,0.6211,0,0,0,0.0887,0,0,0,0.0887,0,0.0887,0,0.0887,0,0,0.2662,0,0,0.0887,0.0887,0,0,0,0.1775,0,0,0,3.1056,0,0.4437,0,0.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1775,NA,0,0.2662,0,0,0,0.0887,0,0,0,0,0,0.1775,0.0887,0,0,0,0,2.7507,0.0887,71.7835,NA,0,0.1775,0,0.3549,0,0,0.0887,0,0,0,0.0887,0,0
"dw.de",644,0,2.3377,0,0,0.1299,0.1299,0,0,0,0.1299,0,0,0.7792,0.1299,0,0,0.7792,0,0.1299,0.6494,0.1299,0,0,0,0,0.1299,0,0,0,1.2987,0,0.2597,0,0,0.6494,0.3896,0,0.2597,0.3896,3.1169,0.1299,0.1299,0.3896,0,0,0,NA,0,0,0,0,0,16.6234,NA,0,0.1299,0,0.2597,0,0.7792,0,0,2.0779,0.1299,0.1299,0,0,0,1.9481,0,0,2.0779,0,0,0,0,0.1299,0,0.2597,0,1.2987,0,0,0,0,0,0,0.1299,0,0,0,0.1299,0.1299,0,1.2987,0.1299,0.3896,1.039,0,1.1688,1.039,0,0,0.1299,2.3377,0,0.7792,0,0.2597,0,0,2.4675,0,0,0.1299,0.1299,1.039,0,0,0,0,0.1299,0.1299,0.1299,0,0,0,0,0.1299,0,0,0,0,1.039,0,0.1299,0.5195,0,0,0,0,0,0,0.1299,0.1299,0.5195,0,0,0.1299,0.9091,0,0,0.1299,0.5195,0,0,0,1.039,0,0,0.5195,0,0,0.7792,0,1.039,0.7792,0,0.5195,0,0.2597,0,7.5325,0,0.1299,0.1299,0.1299,0,0,0,0,0.3896,0,0,0,0,0.1299,1.039,0,0,0,0.3896,NA,0,1.8182,0,0,0,0,0,0,0,0,0,0.5195,2.4675,0,0,0.1299,0,11.5584,0,10.1299,NA,0,0.5195,0,0.1299,0,0,0.3896,0,0,0.2597,1.5584,0,0
