domain,type,country,global rank,source_id
bbc.co.uk,broadcast,gb,55,1094
"cnn.com,money.cnn.com,ireport.cnn.com",broadcast,us,63,1095
espn.go.com,broadcast,us,84,4451
foxnews.com,broadcast,us,170,1092
nbcnews.com,broadcast,us,253,25499
ndtv.com,broadcast,in,279,17973
bloomberg.com,broadcast,us,354,40944
abcnews.go.com,broadcast,us,482,39000
msn.foxsports.com,broadcast,us,580,55476
eonline.com,broadcast,us,583,5856
cnbc.com,broadcast,us,632,21328
npr.org,broadcast,us,656,1096
cbsnews.com,broadcast,us,890,1752
"news.sky.com,sky.com",broadcast,gb,924,39789
alarabiya.net,broadcast,ae,992,40224
cbc.ca,broadcast,ca,1026,7333
ksl.com,broadcast,us,1268,69357
pbs.org,broadcast,us,1380,1093
dw.de,broadcast,de,1411,23195
abc.net.au,broadcast,au,1445,41452
