,ISO,country,percent_population,GDP_PPP_Billions,GDP_percent
78,KAZ,Kazakhstan,0.24%,246.904,0.284
79,KEN,Kenya,0.62%,80.363,0.092
80,KHM,Cambodia,0.21%,39.690,0.046
81,KIR,Kiribati,0.0015%,0.699,0.001
82,KWT,Kuwait,0.043%,154.460,0.178
83,LBN,Lebanon,0.067%,66.318,0.076
84,LBR,Liberia,0.06%,2.867,0.003
85,LBY,Libya,0.087%,70.386,0.081
86,LKA,Sri Lanka,0.28%,135.979,0.156
87,LSO,Lesotho,0.029%,4.298,0.005
88,LTU,Lithuania,0.041%,67.602,0.078
89,LUX,Luxembourg,0.0075%,42.630,0.049
90,LVA,Latvia,0.028%,38.920,0.045
91,MAR,Morocco,0.46%,179.240,0.206
92,MDA,Moldova,0.05%,13.299,0.015
93,MDG,Madagascar,0.3%,22.282,0.026
94,MDV,Maldives,0.0044%,3.086,0.004
95,MEX,Mexico,1.67%,1842.563,2.118
96,MHL,Marshall Islands,0.00078%,0.487,0.001
97,MLI,Mali,0.21%,18.597,0.021
98,MLT,Malta,0.0058%,11.618,0.013
99,MNE,Montenegro,0.0087%,7.421,0.009
100,MNG,Mongolia,0.041%,17.064,0.020
101,MOZ,Mozambique,0.33%,28.183,0.032
102,MRT,Mauritania,0.048%,8.241,0.009
103,MUS,Mauritius,0.018%,20.912,0.024
104,MWI,Malawi,0.23%,15.036,0.017
105,MYS,Malaysia,0.42%,525.698,0.604
106,NAM,Namibia,0.029%,17.805,0.020
107,NER,Niger,0.24%,13.762,0.016
108,NGA,Nigeria,2.42%,479.320,0.551
109,NIC,Nicaragua,0.085%,27.902,0.032
110,NLD,Netherlands,0.24%,700.531,0.805
111,NOR,Norway,0.071%,280.025,0.322
112,NPL,Nepal,0.37%,42.112,0.048
113,NZL,New Zealand,0.063%,136.590,0.157
114,OMN,Oman,0.056%,94.986,0.109
115,PAK,Pakistan,2.6%,575.049,0.661
116,PAN,Panama,0.048%,61.981,0.071
117,PER,Peru,0.43%,344.231,0.396
118,PHL,Philippines,1.39%,456.418,0.525
119,PLW,Palau,0.00029%,0.415,--
120,PNG,Papua New Guinea,0.103%,19.828,0.023
121,POL,Poland,0.54%,817.457,0.940
122,PRT,Portugal,0.15%,244.813,0.281
123,PRY,Paraguay,0.095%,46.362,0.053
124,QAT,Qatar,0.03%,199.638,0.229
125,ROU,Romania,0.28%,285.131,0.328
126,RUS,Russia,2.04%,2556.203,2.938
