,,,Catherine,,Lorrie,,Rahul,
rank,domain,url,type,country,type,country,type,country
1,facebook.com,facebook.com/#!/pages/Bill-Farmer/104106626293973,mismatch,US,mismatch,US,mismatch,US
2,youtube.com,youtube.com,mismatch,US,mismatch,US,mismatch,US
3,twitter.com,twitter.com/#!/nbctheevent,mismatch,US,mismatch,US,mismatch,US
4,imdb.com,imdb.com,mismatch,US,mismatch,US,mismatch,US
5,bbc.co.uk,bbc.co.uk,Broadcast,GB,broadcast,GB,broadcast,GB
6,cnn.com,cnn.com,Broadcast,US,broadcast,US,broadcast,US
7,espn.go.com,espn.go.com,Broadcast,US,online,US,broadcast,US
8,weather.com,weather.com,Weather,US,weather,GB,weather,US
9,bbc.co.uk,bbc.co.uk/news/,Broadcast,GB,broadcast,GB,broadcast,GB
10,livejournal.com,livejournal.com,Online,US,mismatch,US,mismatch,RU
11,deviantart.com,deviantart.com,Mismatch,,mismatch,US,mismatch,US
12,foxnews.com,foxnews.com,Broadcast,US,broadcast,US,broadcast,US
13,www.facebook.com,https://www.facebook.com/,mismatch,US,mismatch,US,mismatch,US
14,pandora.com,pandora.com,Mismatch ,US,mismatch,US,mismatch,US
15,movies.yahoo.com,movies.yahoo.com,Online,US,mismatch,US,mismatch,US
16,nbcnews.com,nbcnews.com,Broadcast,US,broadcast,US,broadcast,US
17,ndtv.com,ndtv.com,broadcast,IN,broadcast,IN,broadcast,US
18,hulu.com,hulu.com,Broadcast,US,mismatch,US,mismatch,US
19,scribd.com,scribd.com,Mismatch,,mismatch,US,mismatch,US
20,tmz.com,tmz.com,Online,US,aggregator,US,online,US
21,tv.yahoo.com,tv.yahoo.com,Broadcast,US,mismatch,US,mismatch,US
22,abcnews.go.com,abcnews.go.com,Broadcast,US,broadcast,US,broadcast,US
23,money.cnn.com,money.cnn.com,Broadcast,US,aggregator,US,broadcast,US
24,eonline.com,eonline.com,Broadcast,US,online,US,broadcast,US
25,msn.foxsports.com,msn.foxsports.com,Broadcast,US,broadcast,US,broadcast,US
26,rottentomatoes.com,rottentomatoes.com,Online,US,mimatch,US,mismatch,US
27,azlyrics.com,azlyrics.com,Mismatch,,mismatch,US,mismatch,US
28,npr.org,npr.org,Broadcast,US,broadcast,US,broadcast,US
29,foodnetwork.com,foodnetwork.com,Mismatch,US,mimatch,US,mismatch,US
30,urbandictionary.com,urbandictionary.com,mismatch,US,mismatch,US,mismatch,US
31,cnbc.com,cnbc.com,Broadcast,US,broadcast,US,broadcast,US
32,wired.com,wired.com,Magazine,US,magazine,US,magazine,US
33,gawker.com,gawker.com,Online,US,online,GB,online,US
34,deezer.com,deezer.com,Mismatch ,,magazine,FR,mismatch,US
35,sky.com,sky.com,Broadcast ,Gb,mismatch,GB,broadcast,US
36,comcast.com,comcast.com,Mismatch,US,mismatch,US,mismatch,US
37,fandango.com,fandango.com,Mismatch,US,mismatch,US,mismatch,US
38,cbsnews.com,cbsnews.com,Broadcast,US,broadcast,US,broadcast,US
39,spotify.com,spotify.com,online,US,mismatch,US,mismatch,US
40,ultimate-guitar.com,ultimate-guitar.com,Mismatch,,mismatch,US,mismatch,US
41,last.fm,last.fm,Mismatch,US,mismatch,GB,mismatch,US
42,cbc.ca,cbc.ca,Broadcast,CA,broadcast,CA,broadcast,CA
43,cbs.com,cbs.com,Broadcast,US,broadcast,US,broadcast,US
44,foxnews.com,foxnews.com/entertainment/,Broadcast,US,broadcast,US,broadcast,US
45,sportsillustrated.cnn.com,sportsillustrated.cnn.com,Magazine,US,magazine,US,broadcast,US
46,ksl.com,ksl.com, Broadcast,Us,broadcast,US,broadcast,US
47,salon.com,salon.com,Online,US,online,US,online,US
48,pbs.org,pbs.org,Broadcast,US,broadcast,US,broadcast,US
49,hgtv.com,hgtv.com,Mismatch,US,mismatch,US,mismatch,US
50,theatlantic.com,theatlantic.com,Magazine,US,magazine,US,magazine,US
51,tvguide.com,tvguide.com,Magazine,US,magazine,US,mismatch,US
52,ew.com,ew.com,Broadcast,US,magazine,US,magazine,US
53,home.disney.go.com,home.disney.go.com,Mismatch,US,mismatch,US,mismatch,US
54,dw.de,dw.de,broadcast,DE,aggregator,DE,broadcast,DE
55,metrolyrics.com,metrolyrics.com,mismatch,,mismatch,US,mismatch,US
56,hollywoodreporter.com,hollywoodreporter.com,magazine,US,magazine,US,mismatch,US
57,discogs.com,discogs.com,mismatch,,mismatch,US,mismatch,US
58,rollingstone.com,rollingstone.com,Magazine,US,magazine,US,magazine,US
59,mtv.com,mtv.com,Broadcast ,US,mismatch,US,mismatch,US
60,discovery.com,discovery.com,Broadcast,US,mismatch,US,mismatch,US
61,abc.net.au,abc.net.au,Broadcast,AU,broadcast,AU,broadcast,US
62,fanfiction.net,fanfiction.net,mismatch,,mismatch,US,broadcast,US
63,egotastic.com,egotastic.com,mismatch,,mismatch,US,mismatch,US
64,skyscrapercity.com,skyscrapercity.com,mismatch,,mismatch,NL,mismatch,US
65,billboard.com,billboard.com/#/news/phair-play-liz-indulges-in-the-major-label-1933414.story,Mismatch,,mismatch,US,mismatch,US
66,filmaffinity.com,filmaffinity.com,Mismatch,,mismatch,US,mismatch,US
67,abc.go.com,abc.go.com,broadcast,US,broadcast,US,broadcast,US
68,metacritic.com,metacritic.com,mismatch,,mismatch,US,aggregator,US
69,cbc.ca,cbc.ca/news/,broadcast,CA,broadcast,CA,broadcast,CA
70,rapgenius.com,rapgenius.com,mismatch,,mismatch,US,mismatch,US
71,directv.com,directv.com,mismatch,US,mismatch,US,mismatch,US
72,tv.com,tv.com,mismatch,,mismatch,US,mismatch,US
73,tv.msn.com,tv.msn.com,mismatch,US,mismatch,US,mismatch,US
74,nbc.com,nbc.com,Broadcast,US,broadcast,US,broadcast,US
75,on.aol.com,on.aol.com,online,US,aggregator,US,mismatch,US
76,boxofficemojo.com,boxofficemojo.com,mismatch,,mismatch,US,mismatch,US
77,xkcd.com,xkcd.com,Mismatch,US,mismatch,US,mismatch,US
78,pbskids.org,pbskids.org,Mismatch,US,mismatch,US,mismatch,US
79,allmusic.com,allmusic.com,Mismatch,,mismatch,US,mismatch,US
80,moviefone.com,moviefone.com,Mismatch,US,mismatch,US,mismatch,US
81,tsn.ca,tsn.ca,Mismatch,CA,aggregator,CA,broadcast,CA
82,newyorker.com,newyorker.com,Magazine ,US,magazine,US,magazine,US
83,cox.com,cox.com,Mismatch,,mismatch,US,mismatch,US
84,voanews.com,voanews.com,Broadcast,US,broadcast,US,broadcast,US
85,variety.com,variety.com,Magazine ,US,magazine,US,magazine,US
86,nick.com,nick.com,mismatch,US,mismatch,US,mismatch,US
87,b92.net,b92.net,broadcast,RS,aggregator,RS,broadcast,RS
88,abc.net.au,abc.net.au/news/,broadcast,AU,broadcast,AU,broadcast,AU
89,oprah.com,oprah.com,mismatch,US,mismatch,US,mismatch,US
90,cartoonnetwork.com,cartoonnetwork.com,Mismatch,,mismatch,US,mismatch,US
91,canon.com,canon.com,Mismatch ,,mismatch,US,mismatch,US
92,bbc.co.uk,bbc.co.uk/radio/,broadcast,GB,broadcast,GB,broadcast,GB
93,boingboing.net,boingboing.net,online,US,aggregator,US,online,US
94,irib.ir,irib.ir,broadcast,IR,unknown,IR,broadcast,IR
95,heavy.com,heavy.com,mismatch,,mismatch,US,online,US
96,nickjr.com,nickjr.com,Mismatch,US,mismatch,US,mismatch,US
97,lyricsfreak.com,lyricsfreak.com,Mismatch,,mismatch,US,mismatch,US
98,rai.it,rai.it,broadcast,IT,aggregator,IT,broadcast,IT
99,rfi.fr,rfi.fr,broadcast,FR,aggregator,FR,broadcast,FR
100,lipsum.com,lipsum.com,mismatch,,mismatch,US,mismatch,US
