rank,domain,url,type,country
1,facebook.com,facebook.com/#!/pages/Bill-Farmer/104106626293973,mismatch,US
2,youtube.com,youtube.com,mismatch,US
3,twitter.com,twitter.com/#!/nbctheevent,mismatch,US
4,imdb.com,imdb.com,mismatch,US
5,bbc.co.uk,bbc.co.uk,Broadcast,GB
6,cnn.com,cnn.com,Broadcast,US
7,espn.go.com,espn.go.com,Broadcast,US
8,weather.com,weather.com,Weather,US
9,bbc.co.uk,bbc.co.uk/news/,Broadcast,GB
10,livejournal.com,livejournal.com,Online,US
11,deviantart.com,deviantart.com,Mismatch,
12,foxnews.com,foxnews.com,Broadcast,US
13,www.facebook.com,https://www.facebook.com/,mismatch,US
14,pandora.com,pandora.com,Mismatch ,US
15,movies.yahoo.com,movies.yahoo.com,Online,US
16,nbcnews.com,nbcnews.com,Broadcast,US
17,ndtv.com,ndtv.com,broadcast,IN
18,hulu.com,hulu.com,Broadcast,US
19,scribd.com,scribd.com,Mismatch,
20,tmz.com,tmz.com,Online,US
21,tv.yahoo.com,tv.yahoo.com,Broadcast,US
22,abcnews.go.com,abcnews.go.com,Broadcast,US
23,money.cnn.com,money.cnn.com,Broadcast,US
24,eonline.com,eonline.com,Broadcast,US
25,msn.foxsports.com,msn.foxsports.com,Broadcast,US
26,rottentomatoes.com,rottentomatoes.com,Online,US
27,azlyrics.com,azlyrics.com,Mismatch,
28,npr.org,npr.org,Broadcast,US
29,foodnetwork.com,foodnetwork.com,Mismatch,US
30,urbandictionary.com,urbandictionary.com,mismatch,US
31,cnbc.com,cnbc.com,Broadcast,US
32,wired.com,wired.com,Magazine,US
33,gawker.com,gawker.com,Online,US
34,deezer.com,deezer.com,Mismatch ,
35,sky.com,sky.com,Broadcast ,Gb
36,comcast.com,comcast.com,Mismatch,US
37,fandango.com,fandango.com,Mismatch,US
38,cbsnews.com,cbsnews.com,Broadcast,US
39,spotify.com,spotify.com,online,US
40,ultimate-guitar.com,ultimate-guitar.com,Mismatch,
41,last.fm,last.fm,Mismatch,US
42,cbc.ca,cbc.ca,Broadcast,CA
43,cbs.com,cbs.com,Broadcast,US
44,foxnews.com,foxnews.com/entertainment/,Broadcast,US
45,sportsillustrated.cnn.com,sportsillustrated.cnn.com,Magazine,US
46,ksl.com,ksl.com, Broadcast,Us
47,salon.com,salon.com,Online,US
48,pbs.org,pbs.org,Broadcast,US
49,hgtv.com,hgtv.com,Mismatch,US
50,theatlantic.com,theatlantic.com,Magazine,US
51,tvguide.com,tvguide.com,Magazine,US
52,ew.com,ew.com,Broadcast,US
53,home.disney.go.com,home.disney.go.com,Mismatch,US
54,dw.de,dw.de,broadcast,DE
55,metrolyrics.com,metrolyrics.com,mismatch,
56,hollywoodreporter.com,hollywoodreporter.com,magazine,US
57,discogs.com,discogs.com,mismatch,
58,rollingstone.com,rollingstone.com,Magazine,US
59,mtv.com,mtv.com,Broadcast ,US
60,discovery.com,discovery.com,Broadcast,US
61,abc.net.au,abc.net.au,Broadcast,AU
62,fanfiction.net,fanfiction.net,mismatch,
63,egotastic.com,egotastic.com,mismatch,
64,skyscrapercity.com,skyscrapercity.com,mismatch,
#ERROR!:parse,,,,
65,billboard.com,billboard.com/#/news/phair-play-liz-indulges-in-the-major=,Mismatch,
-label-1933414.story,,,,
66,filmaffinity.com,filmaffinity.com,Mismatch,
67,abc.go.com,abc.go.com,broadcast,US
68,metacritic.com,metacritic.com,mismatch,
69,cbc.ca,cbc.ca/news/,broadcast,CA
70,rapgenius.com,rapgenius.com,mismatch,
71,directv.com,directv.com,mismatch,US
72,tv.com,tv.com,mismatch,
73,tv.msn.com,tv.msn.com,mismatch,US
74,nbc.com,nbc.com,Broadcast,US
75,on.aol.com,on.aol.com,online,US
76,boxofficemojo.com,boxofficemojo.com,mismatch,
77,xkcd.com,xkcd.com,Mismatch,US
78,pbskids.org,pbskids.org,Mismatch,US
79,allmusic.com,allmusic.com,Mismatch,
80,moviefone.com,moviefone.com,Mismatch,US
81,tsn.ca,tsn.ca,Mismatch,CA
82,newyorker.com,newyorker.com,Magazine ,US
83,cox.com,cox.com,Mismatch,
84,voanews.com,voanews.com,Broadcast,US
85,variety.com,variety.com,Magazine ,US
86,nick.com,nick.com,mismatch,US
87,b92.net,b92.net,broadcast,RS
88,abc.net.au,abc.net.au/news/,broadcast,AU
89,oprah.com,oprah.com,mismatch,US
90,cartoonnetwork.com,cartoonnetwork.com,Mismatch,
91,canon.com,canon.com,Mismatch ,
92,bbc.co.uk,bbc.co.uk/radio/,broadcast,GB
93,boingboing.net,boingboing.net,online,US
94,irib.ir,irib.ir,broadcast,IR
95,heavy.com,heavy.com,mismatch,
96,nickjr.com,nickjr.com,Mismatch,US
97,lyricsfreak.com,lyricsfreak.com,Mismatch,
98,rai.it,rai.it,broadcast,IT
99,rfi.fr,rfi.fr,broadcast,FR
100,lipsum.com,lipsum.com,mismatch,
