rank,domain,url,CD type,CD country,LL type,LL country,RB type,RB country,type,country,global rank,us rank,bounce rate,daily pageview,daily time on site
1,facebook.com,facebook.com/#!/pages/Bill-Farmer/104106626293973,mismatch,US,mismatch,US,mismatch,US,mismatch,us,2,2,20.60%,15.80,30:29
2,youtube.com,youtube.com,mismatch,US,mismatch,US,mismatch,US,mismatch,us,3,3,31.30%,11.94,18:15
3,twitter.com,twitter.com/#!/nbctheevent,mismatch,US,mismatch,US,mismatch,US,mismatch,us,11,9,32.10%,5.64,9:15
4,imdb.com,imdb.com,mismatch,US,mismatch,US,mismatch,US,mismatch,us,45,28,31.30%,6.29,4:18
5,bbc.co.uk,bbc.co.uk,Broadcast,GB,broadcast,GB,broadcast,GB,broadcast,gb,55,5,38.00%,4.31,6:02
6,cnn.com,cnn.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,63,16,50.50%,3.18,5:05
7,espn.go.com,espn.go.com,Broadcast,US,online,US,broadcast,US,broadcast,us,84,22,31.40%,5.82,7:57
8,weather.com,weather.com,Weather,US,weather,GB,weather,US,weather,us,114,23,24.50%,3.73,3:46
9,bbc.co.uk,bbc.co.uk/news/,Broadcast,GB,broadcast,GB,broadcast,GB,broadcast,gb,55,5,38.00%,4.31,6:02
10,livejournal.com,livejournal.com,Online,US,mismatch,US,mismatch,RU,mismatch,us,137,11,47.60%,5.16,7:11
11,deviantart.com,deviantart.com,Mismatch,,mismatch,US,mismatch,US,mismatch,us,130,101,40.60%,10.40,6:03
12,foxnews.com,foxnews.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,170,39,46.70%,2.94,5:55
13,www.facebook.com,https://www.facebook.com/,mismatch,US,mismatch,US,mismatch,US,mismatch,us,2,2,20.60%,15.80,30:29
14,pandora.com,pandora.com,Mismatch ,US,mismatch,US,mismatch,US,mismatch,us,230,52,52.30%,2.94,4:17
15,movies.yahoo.com,movies.yahoo.com,Online,US,mismatch,US,mismatch,US,mismatch,us,4,4,31.40%,5.77,7:46
16,nbcnews.com,nbcnews.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,253,66,57.90%,1.93,3:37
17,ndtv.com,ndtv.com,broadcast,IN,broadcast,IN,broadcast,US,broadcast,in,279,24,50.40%,3.60,4:44
18,hulu.com,hulu.com,Broadcast,US,mismatch,US,mismatch,US,mismatch,us,302,71,34.50%,5.02,5:27
19,scribd.com,scribd.com,Mismatch,,mismatch,US,mismatch,US,mismatch,us,306,151,53.40%,2.74,3:12
20,tmz.com,tmz.com,Online,US,aggregator,US,online,US,online,us,341,92,62.00%,2.77,4:05
21,tv.yahoo.com,tv.yahoo.com,Broadcast,US,mismatch,US,mismatch,US,mismatch,us,4,4,31.40%,5.77,7:46
22,abcnews.go.com,abcnews.go.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,482,129,66.30%,1.71,2:39
23,money.cnn.com,money.cnn.com,Broadcast,US,aggregator,US,broadcast,US,broadcast,us,63,16,50.50%,3.18,5:05
24,eonline.com,eonline.com,Broadcast,US,online,US,broadcast,US,broadcast,us,583,202,58.20%,3.43,3:08
25,msn.foxsports.com,msn.foxsports.com,Broadcast,US,broadcast,US,broadcast,US,broadcast,us,580,124,57.40%,2.41,3:39
